submission_pk,User,b'AVG',b'SEEN',b'UNSEEN'
185825,Beacon,8.22 (1),6.07 (1),10.01 (2),
185125,charlieJ,8.42 (2),6.54 (2),9.98 (1),
184541,handsome,51.31 (3),52.73 (3),50.12 (3),
