submission_pk,User,b'Utility Score',b'rate',b'cor',b'OR',b'il-age',b'il-bmi',b'il-cat'
No data available
submission_pk,User,Attack Score,Privacy Scores after the attack,Privacy Scores after the attack,Privacy Scores after the attack,Privacy Scores after the attack,Privacy Scores after the attack,Privacy Scores after the attack,Privacy Scores after the attack,Privacy Scores after the attack,Privacy Scores after the attack,Privacy Scores after the attack
,b'Attack Score',b'Team 1',b'Team 2',b'Team 3',b'Team 4',b'Team 5',b'Team 6',b'Team 7',b'Team 8',b'Team 9',b'Team 10'
No data available
