submission_pk,User,b'DER'
344714,fabiocat,21.4 (1),
341724,SRI-Bangalore,25.0 (2),
334113,Zevo-Tech,26.4 (3),
333641,Intema,26.5 (4),
328891,FlySpeech77,31.5 (5),
346193,TCSResearch,32.1 (6),
342982,BASELINES,32.6 (7),
345695,gintautas_VU,35.7 (8),
347140,Inbalri,39.1 (9),
