submission_pk,User,b'avg F1'
140733,th,0.479372 (1),
114688,juliojj,0.369084 (2),
140736,sakura,0.355551 (3),
140728,batman,0.352853 (4),
140632,geroge_paul,0.340912 (5),
136468,vqaf,0.223120 (6),
140765,Mikedddd,0.168289 (7),
134279,BUPThaha,0.117963 (8),
137225,ryanwong,0.098724 (9),
