submission_pk,User,b'F1',b'P',b'R'
310482,guilopgar,0.7778 (1),0.7859 (1),0.7698 (1),
178332,antonio_miranda,0.6935 (2),0.7146 (2),0.6736 (2),
474643,mmaguero,0.6190 (3),0.6596 (3),0.5831 (3),
submission_pk,User,b'F1',b'P',b'R'
474643,mmaguero,- (-),,,
310482,guilopgar,- (-),,,
178332,antonio_miranda,- (-),,,
