submission_pk,User,SLS,SLS,SLS,mAP@0.1 (%),mAP@0.1 (%),mAP@0.1 (%),mAP@0.2 (%),mAP@0.2 (%),mAP@0.2 (%),mAP@0.3 (%),mAP@0.3 (%),mAP@0.3 (%),mAP@0.4 (%),mAP@0.4 (%),mAP@0.4 (%),mAP@0.5 (%),mAP@0.5 (%),mAP@0.5 (%),Avg. mAP (%),Avg. mAP (%),Avg. mAP (%)
,b'PT',b'TL',b'TD',b'Verb',b'Noun',b'Action',b'Verb',b'Noun',b'Action',b'Verb',b'Noun',b'Action',b'Verb',b'Noun',b'Action',b'Verb',b'Noun',b'Action',b'Verb',b'Noun',b'Action'
454842,mzs,4.0 (1),25.54 (1),24.54 (1),23.16 (1),21.04 (1),18.35 (1),22.52 (1),,,,,,,,,,,,,,,,,,,,,,
128809,lijun,4.0 (1),24.57 (2),23.50 (2),21.94 (2),19.65 (2),16.74 (3),21.28 (2),,,,,,,,,,,,,,,,,,,,,,
128840,tzzcl1,4.0 (1),23.90 (3),22.98 (3),21.37 (3),19.57 (3),16.94 (2),20.95 (3),,,,,,,,,,,,,,,,,,,,,,
459400,Haniel,3.0 (2),19.64 (4),18.66 (4),17.29 (4),15.55 (4),13.49 (4),16.93 (4),,,,,,,,,,,,,,,,,,,,,,
17040,Alibaba-MMAI-Research,3.0 (2),18.76 (5),17.73 (5),16.26 (5),14.91 (5),12.87 (5),16.11 (5),,,,,,,,,,,,,,,,,,,,,,
456455,ctai,3.0 (2),17.09 (6),16.49 (6),15.71 (6),14.24 (6),12.38 (6),15.18 (6),,,,,,,,,,,,,,,,,,,,,,
128593,cuis,3.0 (2),16.68 (7),16.11 (7),15.15 (7),13.59 (7),11.66 (7),14.64 (7),,,,,,,,,,,,,,,,,,,,,,
127121,richard61,4.0 (1),14.33 (8),13.63 (8),12.80 (8),11.53 (8),9.93 (8),12.44 (8),,,,,,,,,,,,,,,,,,,,,,
17010,LocTransformer,3.0 (2),8.77 (9),8.04 (9),7.40 (9),6.31 (9),5.07 (9),7.12 (9),,,,,,,,,,,,,,,,,,,,,,
17026,EPIC-BMN-SLOWFAST,3.0 (2),6.40 (10),5.37 (10),4.41 (10),3.36 (10),2.47 (10),4.40 (10),,,,,,,,,,,,,,,,,,,,,,
