submission_pk,User,b'F-1 sarcastic',b'F-score',b'Precision',b'Recall',b'Accuracy'
42446,hudou,- (-),,,,,
42434,A__,- (-),,,,,
42420,niksss,- (-),,,,,
42371,ragingmartyr,- (-),,,,,
42342,Ramdhanush,- (-),,,,,
42338,iaf7,- (-),,,,,
42312,ShubhamKumarNigam,- (-),,,,,
42271,Yaakov,- (-),,,,,
42268,Ilan,- (-),,,,,
42251,hamadanayel,- (-),,,,,
42240,dalya,- (-),,,,,
42211,Pat275,- (-),,,,,
42199,cnxupupup,- (-),,,,,
42197,maryam.najafi,- (-),,,,,
42184,JoseAGD,- (-),,,,,
42111,Matan,- (-),,,,,
42102,AlamiHamza,- (-),,,,,
42085,hamed,- (-),,,,,
41995,abhayshukla9,- (-),,,,,
41833,leon14138,- (-),,,,,
41604,oseibrefo,- (-),,,,,
41602,emma,- (-),,,,,
41506,Aya,- (-),,,,,
41470,dartmouth,- (-),,,,,
41413,Alex.a,- (-),,,,,
41319,rematchka,- (-),,,,,
41247,robvanderg,- (-),,,,,
41200,lizefeng,- (-),,,,,
41014,premjithb,- (-),,,,,
40707,Abdelkader,- (-),,,,,
39920,stce,- (-),,,,,
39752,Abdulrahman_Kamr,- (-),,,,,
submission_pk,User,b'F-1 sarcastic',b'F-score',b'Precision',b'Recall',b'Accuracy'
40707,Abdelkader,0.5632 (1),0.7188 (1),0.6948 (2),0.8362 (1),0.8050 (2),
41506,Aya,0.5076 (2),0.6788 (2),0.6648 (3),0.7950 (2),0.7700 (5),
41319,rematchka,0.4767 (3),0.6531 (5),0.6483 (4),0.7750 (3),0.7429 (6),
42102,AlamiHamza,0.4684 (4),0.6434 (6),0.6442 (5),0.7733 (4),0.7293 (9),
41200,lizefeng,0.4608 (5),0.6590 (4),0.6428 (6),0.7329 (7),0.7743 (4),
39752,Abdulrahman_Kamr,0.4438 (6),0.6222 (7),0.6312 (7),0.7538 (5),0.7064 (11),
42240,dalya,0.4305 (7),0.6114 (10),0.6240 (8),0.7412 (6),0.6957 (12),
41413,Alex.a,0.4204 (8),0.6198 (8),0.6181 (9),0.7142 (11),0.7243 (10),
41602,emma,0.4187 (9),0.5993 (12),0.6180 (10),0.7325 (8),0.6807 (13),
42312,ShubhamKumarNigam,0.4072 (10),0.5776 (14),0.6143 (11),0.7312 (9),0.6464 (18),
42420,niksss,0.4000 (11),0.5800 (13),0.6083 (12),0.7167 (10),0.6571 (17),
41247,robvanderg,0.3962 (12),0.6601 (3),0.7207 (1),0.6338 (19),0.8650 (1),
42446,hudou,0.3778 (13),0.5415 (19),0.6000 (14),0.7042 (12),0.6000 (19),
42251,hamadanayel,0.3746 (14),0.6024 (11),0.5968 (15),0.6608 (17),0.7329 (8),
42434,A__,0.3692 (15),0.5686 (16),0.5897 (18),0.6750 (15),0.6607 (15),
42199,cnxupupup,0.3670 (16),0.5284 (21),0.5944 (17),0.6925 (14),0.5836 (21),
39920,stce,0.3667 (17),0.5239 (22),0.5954 (16),0.6942 (13),0.5757 (22),
