submission_pk,User,b'< Rank >',b'MCC',b'Recall',b'Precision',b'Disk Footprint (Bytes)',b'Model Params'
167162,IST-Unbabel,0.83 (1),0.5641 (1),0.6190 (1),0.6190 (1),2260735025.0 (1),565137435.0 (1),
167114,OrganizersBaselines,1.67 (2),0.0738 (2),0.1905 (2),0.1905 (2),2277430785.0 (2),569330715.0 (2),
