submission_pk,User,b'Average Rank',b'Duration',b'cost_i0',b'cost_i1',b'cost_i2',b'cost_i3',b'cost_i4',b'cost_i5',b'cost_i6',b'cost_i7',b'cost_i8',b'cost_i9',b'cost_i10',b'cost_i11',b'cost_i12',b'cost_i13',b'cost_i14',b'cost_i15',b'cost_i16',b'cost_i17',b'cost_i18',b'cost_i19',b'cost_i20',b'cost_i21',b'cost_i22',b'cost_i23',b'cost_i24',b'cost_i25',b'cost_i26',b'cost_i27',b'cost_i28',b'cost_i29',b'cost_i30',b'cost_i31',b'cost_i32',b'cost_i33',b'cost_i34',b'cost_i35',b'cost_i36',b'cost_i37',b'cost_i38',b'cost_i39',b'cost_i40',b'cost_i41',b'cost_i42',b'cost_i43',b'cost_i44',b'cost_i45',b'cost_i46',b'cost_i47',b'cost_i48',b'cost_i49',b'cost_i50',b'cost_i51',b'cost_i52',b'cost_i53',b'cost_i54',b'cost_i55',b'cost_i56',b'cost_i57',b'cost_i58',b'cost_i59',b'cost_i60',b'cost_i61',b'cost_i62',b'cost_i63',b'cost_i64',b'cost_i65',b'cost_i66',b'cost_i67',b'cost_i68',b'cost_i69',b'cost_i70',b'cost_i71',b'cost_i72',b'cost_i73',b'cost_i74',b'cost_i75',b'cost_i76',b'cost_i77',b'cost_i78',b'cost_i79'
152388,npu_CHY,4.8375 (6),1270.5 (1),0.3375 (1),1.1310 (2),0.0971 (6),1.1344 (6),1.9087 (7),0.2802 (1),1.6064 (1),1.2684 (6),0.1089 (1),1.5367 (1),1.5288 (5),1.7377 (4),1.3950 (1),1.9621 (6),0.0607 (6),0.2821 (1),1.7918 (4),0.3549 (6),0.7719 (6),1.3437 (4),1.5558 (8),0.8237 (6),0.4432 (6),0.6275 (5),0.1875 (6),0.4019 (1),0.3846 (6),0.1273 (6),1.6488 (1),0.0623 (6),0.3777 (5),0.1137 (6),0.6276 (6),1.7176 (1),1.6558 (6),0.1124 (1),0.0479 (6),0.3682 (6),0.0865 (5),1.8615 (3),0.4613 (1),0.4773 (3),1.1438 (6),0.2284 (5),1.4969 (4),0.5026 (6),1.8916 (4),2.1393 (5),1.4367 (6),0.1302 (10),0.0689 (2),0.2213 (4),1.3784 (10),0.3870 (6),1.8765 (6),0.2052 (2),1.6435 (10),0.1158 (5),0.3880 (3),0.3804 (7),0.5759 (9),0.4797 (3),0.4679 (1),0.0936 (3),0.1086 (2),0.1494 (8),0.4740 (5),0.1074 (2),0.4985 (8),2.0676 (6),2.3026 (5),0.0700 (5),0.3882 (5),1.8445 (5),0.1892 (7),0.5846 (7),0.1064 (7),0.0423 (5),2.0080 (9),0.0931 (9),
151369,_mahcih_,2.9250 (1),5285.2 (10),0.3392 (2),1.1840 (5),0.0899 (1),1.0984 (2),1.8085 (2),0.2874 (4),1.6329 (6),1.2399 (1),0.1283 (9),1.5428 (2),1.5001 (2),1.7353 (1),1.4072 (4),1.8504 (3),0.0538 (1),0.2920 (4),1.7908 (3),0.3335 (1),0.6898 (1),1.3444 (5),1.5238 (1),0.7976 (1),0.4151 (1),0.5512 (1),0.1661 (2),0.4032 (2),0.3752 (1),0.1229 (4),1.6696 (2),0.0565 (1),0.3649 (1),0.1024 (1),0.4965 (1),1.7265 (4),1.6320 (1),0.1170 (6),0.0445 (1),0.3535 (1),0.0840 (1),1.8381 (1),0.4627 (3),0.4769 (1),1.1396 (4),0.2092 (3),1.4174 (1),0.4746 (1),1.9641 (8),1.9771 (4),1.4010 (1),0.1069 (1),0.1552 (8),0.2251 (5),1.3406 (5),0.3536 (1),1.8262 (1),0.1806 (1),1.6402 (9),0.0999 (1),0.3980 (5),0.3444 (1),0.4905 (1),0.4803 (4),0.4733 (2),0.1013 (10),0.1066 (1),0.1359 (3),0.4537 (1),0.1195 (7),0.5895 (9),2.0570 (5),2.3026 (5),0.0626 (1),0.3838 (4),1.8813 (10),0.1595 (1),0.4763 (1),0.0980 (1),0.0427 (6),1.9225 (4),0.0745 (1),
135468,baseline-CosineAnnealing,4.4875 (3),5084.4 (9),0.3413 (3),1.1240 (1),0.0932 (4),1.1106 (5),1.8570 (4),0.2843 (3),1.6114 (4),1.2624 (4),0.1156 (7),1.5469 (4),1.5535 (6),1.7374 (3),1.4901 (10),2.0373 (7),0.0572 (3),0.2919 (3),1.7895 (2),0.3421 (4),0.7234 (4),1.3314 (3),1.5364 (7),0.8090 (4),0.4308 (5),0.6577 (7),0.1691 (5),0.4123 (4),0.3807 (2),0.1224 (2),1.6752 (6),0.0583 (5),0.3686 (3),0.1079 (4),0.5947 (5),1.7201 (2),1.6480 (4),0.1149 (4),0.0465 (5),0.3610 (4),0.0862 (4),1.8638 (7),0.4616 (2),0.4772 (2),1.1348 (2),0.2502 (9),1.5173 (5),0.4905 (4),1.9255 (5),2.3026 (6),1.4200 (5),0.1217 (7),0.0942 (5),0.2208 (1),1.3671 (9),0.3668 (5),1.8702 (3),0.2249 (8),1.6050 (3),0.1064 (4),0.3879 (2),0.3804 (6),0.4931 (2),0.4782 (1),0.4803 (4),0.0997 (8),0.1104 (4),0.1380 (5),0.4834 (7),0.1061 (1),0.4847 (6),2.1947 (8),2.3026 (5),0.0664 (3),0.3835 (2),1.8719 (9),0.1747 (5),0.6018 (9),0.0985 (3),0.0374 (2),1.9912 (5),0.0807 (4),
107077,xuefeng,4.5750 (5),1345.2 (4),0.3413 (3),1.1387 (4),0.0932 (5),1.1106 (5),1.8621 (5),0.2843 (3),1.6073 (2),1.2631 (5),0.1156 (6),1.5472 (5),1.5535 (8),1.7374 (3),1.4183 (6),2.0373 (7),0.0576 (5),0.2919 (3),1.7895 (2),0.3421 (5),0.7237 (5),1.3173 (1),1.5364 (7),0.8090 (5),0.4249 (3),0.6577 (8),0.1691 (4),0.4137 (5),0.3831 (5),0.1225 (3),1.6752 (5),0.0582 (4),0.3686 (3),0.1079 (5),0.5794 (2),1.7201 (2),1.6488 (5),0.1157 (5),0.0451 (2),0.3611 (5),0.0862 (3),1.8631 (6),0.4616 (2),0.4772 (2),1.1354 (3),0.2508 (10),1.4822 (3),0.4942 (5),1.9255 (5),2.3026 (6),1.4200 (4),0.1217 (6),0.0626 (1),0.2208 (2),1.3665 (8),0.3668 (4),1.8702 (3),0.2249 (10),1.6050 (4),0.1064 (4),0.3855 (1),0.3807 (9),0.5555 (6),0.4782 (1),0.4843 (6),0.0975 (6),0.1104 (5),0.1378 (4),0.4833 (6),0.1079 (4),0.4853 (7),2.1947 (8),2.3026 (5),0.0658 (2),0.3834 (1),1.8719 (8),0.1736 (4),0.6018 (10),0.0982 (2),0.0386 (3),1.9912 (6),0.0807 (5),
135469,baseline-SimpleReactive,6.9250 (9),1370.4 (6),0.3434 (4),1.2946 (10),0.1408 (10),1.0091 (1),1.7559 (1),0.3062 (6),1.6908 (8),1.3339 (10),0.1686 (10),1.5571 (7),1.6551 (10),1.7983 (6),1.4234 (8),1.8489 (2),0.0701 (7),0.2944 (6),1.8233 (8),0.3987 (10),0.8017 (10),1.4498 (8),1.5566 (9),0.9138 (10),0.5527 (9),0.5912 (2),0.2398 (10),0.4504 (10),0.4553 (10),0.1830 (10),1.7596 (7),0.0818 (10),0.4267 (8),0.1584 (10),0.7070 (9),1.7864 (6),1.7270 (10),0.1927 (10),0.0878 (10),0.3967 (10),0.1114 (10),1.8562 (2),0.5381 (6),0.5245 (6),1.3485 (10),0.1979 (1),1.5792 (9),0.5291 (10),1.8085 (1),1.8698 (1),1.5793 (10),0.1174 (2),0.1077 (7),0.2650 (10),1.3286 (4),0.4002 (7),1.8372 (2),0.2204 (7),1.6162 (5),0.1339 (9),0.4937 (10),0.3740 (4),0.5485 (5),0.4847 (6),0.4779 (3),0.0999 (9),0.1151 (9),0.1579 (10),0.4937 (10),0.1194 (6),0.6035 (10),1.9011 (2),1.6832 (1),0.1123 (9),0.3927 (6),1.6965 (1),0.1657 (3),0.4944 (2),0.1050 (6),0.0617 (10),1.8756 (1),0.1006 (10),
130198,vu,4.3250 (2),1316.9 (3),0.3447 (5),1.1348 (3),0.0924 (3),1.1086 (4),1.8639 (6),0.2819 (2),1.6102 (3),1.2543 (2),0.1094 (2),1.5460 (3),1.5617 (9),1.7369 (2),1.4108 (5),2.0425 (8),0.0575 (4),0.2932 (5),1.7891 (1),0.3394 (3),0.7221 (3),1.3264 (2),1.5342 (6),0.8079 (3),0.4276 (4),0.6560 (6),0.1681 (3),0.4173 (6),0.3819 (3),0.1223 (1),1.6745 (4),0.0573 (3),0.3681 (2),0.1069 (3),0.5908 (4),1.7207 (3),1.6430 (3),0.1136 (2),0.0454 (3),0.3602 (3),0.0850 (2),1.8677 (10),0.4642 (4),0.4790 (4),1.1333 (1),0.2302 (6),1.5341 (6),0.4892 (2),1.9269 (6),2.3026 (6),1.4183 (3),0.1281 (9),0.0917 (4),0.2209 (3),1.3643 (7),0.3655 (3),1.8704 (4),0.2131 (3),1.5928 (2),0.1058 (3),0.3907 (4),0.3893 (10),0.4968 (3),0.4786 (2),0.4839 (5),0.0990 (7),0.1162 (10),0.1340 (1),0.4899 (9),0.1079 (5),0.4838 (5),2.1546 (7),2.3026 (5),0.0669 (4),0.3838 (3),1.8591 (6),0.1644 (2),0.5966 (8),0.1185 (10),0.0409 (4),2.0057 (8),0.0784 (3),
150799,tak,4.5250 (4),1347.9 (5),0.3517 (6),1.1887 (6),0.0901 (2),1.1068 (3),1.8555 (3),0.2878 (5),1.6289 (5),1.2596 (3),0.1127 (5),1.5481 (6),1.5535 (7),1.7446 (5),1.3973 (2),2.0373 (7),0.0549 (2),0.2877 (2),1.7937 (5),0.3374 (2),0.7148 (2),1.3528 (6),1.5254 (2),0.7978 (2),0.4230 (2),0.6618 (9),0.1660 (1),0.4247 (7),0.3825 (4),0.1236 (5),1.6729 (3),0.0571 (2),0.3690 (4),0.1065 (2),0.5797 (3),1.7331 (5),1.6411 (2),0.1143 (3),0.0461 (4),0.3584 (2),0.0872 (6),1.8628 (4),0.4695 (5),0.4859 (5),1.1434 (5),0.2423 (8),1.4791 (2),0.4899 (3),1.9595 (7),2.3026 (6),1.4102 (2),0.1221 (8),0.1704 (9),0.2263 (6),1.3531 (6),0.3638 (2),1.8702 (3),0.2249 (9),1.5904 (1),0.1051 (2),0.4060 (6),0.3806 (8),0.5050 (4),0.4814 (5),0.4936 (8),0.0947 (5),0.1087 (3),0.1343 (2),0.4834 (8),0.1079 (3),0.4820 (3),2.1984 (9),2.3026 (5),0.3736 (10),0.3945 (7),1.8680 (7),0.1851 (6),0.5685 (4),0.0990 (4),0.0352 (1),1.9912 (7),0.0770 (2),
135402,baseline-ReduceLROnPlateau,6.3625 (7),5061.5 (8),0.3616 (7),1.2550 (8),0.1381 (8),1.1614 (7),1.9275 (8),0.3175 (8),1.6982 (9),1.2964 (7),0.1167 (8),1.5601 (9),1.4964 (1),1.8052 (8),1.4047 (3),1.8476 (1),0.0704 (8),0.3064 (9),1.8187 (6),0.3811 (7),0.7761 (7),1.4340 (7),1.5312 (3),0.8495 (7),0.5512 (8),0.5934 (3),0.2087 (8),0.4095 (3),0.4461 (8),0.1500 (7),1.7720 (9),0.0763 (7),0.4120 (6),0.1256 (9),0.6722 (7),1.8480 (8),1.7189 (9),0.1453 (9),0.0650 (9),0.3835 (7),0.1063 (7),1.8646 (8),0.5651 (8),0.5285 (8),1.2253 (8),0.2089 (2),1.5863 (10),0.5268 (9),1.8495 (3),1.8824 (2),1.5360 (7),0.1186 (5),0.1064 (6),0.2559 (7),1.3084 (3),0.4141 (8),1.8739 (5),0.2170 (6),1.6195 (6),0.1239 (6),0.4232 (7),0.3741 (5),0.5659 (8),0.5087 (8),0.4912 (7),0.0927 (1),0.1119 (8),0.1431 (6),0.4724 (4),0.1242 (9),0.4825 (4),1.9003 (1),1.8721 (4),0.0912 (7),0.4143 (9),1.7072 (2),0.1975 (8),0.5138 (3),0.1014 (5),0.0552 (7),1.9097 (3),0.0914 (6),
135406,baseline-ConstantLR,6.9500 (10),1301.9 (2),0.4013 (8),1.2677 (9),0.1377 (7),1.1617 (8),1.9279 (10),0.3164 (7),1.6709 (7),1.2989 (9),0.1115 (3),1.5615 (10),1.5094 (4),1.8052 (7),1.4249 (9),1.8717 (5),0.0711 (10),0.3059 (7),1.8191 (7),0.3812 (8),0.7775 (9),1.4592 (9),1.5322 (4),0.8535 (9),0.5495 (7),0.5962 (4),0.2089 (9),0.4258 (8),0.4483 (9),0.1524 (9),1.7696 (8),0.0766 (8),0.4120 (7),0.1253 (7),0.7155 (10),1.8411 (7),1.7112 (7),0.1416 (8),0.0629 (7),0.3844 (8),0.1067 (9),1.8648 (9),0.5633 (7),0.5273 (7),1.2215 (7),0.2320 (7),1.5445 (7),0.5258 (8),1.8488 (2),1.9399 (3),1.5380 (9),0.1179 (4),0.2023 (10),0.2562 (8),1.3062 (2),0.4155 (10),1.8861 (7),0.2135 (4),1.6258 (8),0.1248 (8),0.4795 (9),0.3739 (2),0.5589 (7),0.5073 (7),0.5123 (9),0.0934 (2),0.1117 (6),0.1531 (9),0.4722 (3),0.1241 (8),0.4815 (2),1.9181 (3),1.8253 (2),0.0911 (6),0.4149 (10),1.7588 (3),0.2061 (10),0.5728 (5),0.1069 (9),0.0574 (9),1.8955 (2),0.0919 (8),
135828,LuKing11,6.7750 (8),5048.6 (7),0.4013 (9),1.2514 (7),0.1387 (9),1.1617 (8),1.9278 (9),0.3164 (7),1.6709 (7),1.2972 (8),0.1116 (4),1.5594 (8),1.5094 (3),1.8052 (7),1.4192 (7),1.8717 (4),0.0708 (9),0.3059 (8),1.8191 (7),0.3824 (9),0.7772 (8),1.4660 (10),1.5322 (5),0.8535 (8),0.5625 (10),0.5962 (4),0.2084 (7),0.4262 (9),0.4395 (7),0.1516 (8),1.7753 (10),0.0766 (9),0.4120 (7),0.1253 (8),0.6734 (8),1.8411 (7),1.7182 (8),0.1416 (7),0.0635 (8),0.3844 (9),0.1067 (8),1.8629 (5),0.5633 (7),0.5273 (7),1.2267 (9),0.2166 (4),1.5711 (8),0.5241 (7),1.8488 (2),1.9399 (3),1.5380 (8),0.1179 (3),0.0820 (3),0.2566 (9),1.3059 (1),0.4154 (9),1.8861 (7),0.2143 (5),1.6258 (7),0.1248 (7),0.4795 (8),0.3739 (3),0.5817 (10),0.5073 (7),0.5125 (10),0.0941 (4),0.1119 (7),0.1481 (7),0.4722 (2),0.1266 (10),0.4814 (1),1.9181 (4),1.8253 (3),0.0920 (8),0.4138 (8),1.7620 (4),0.2037 (9),0.5728 (6),0.1064 (8),0.0571 (8),1.8955 (2),0.0919 (7),
