submission_pk,User,b'ABS Rel. All',b'ABS Rel. C3',b'ABS Rel. C2',b'ABS Rel. C1',b'ABS Rel. C0'
377743,wyx0821,-1.0000 (1),-1.0000 (1),-1.0000 (1),-1.0000 (1),-1.0000 (1),
373660,cv_challenge,-1.0000 (1),-1.0000 (1),-1.0000 (1),-1.0000 (1),-1.0000 (1),
323843,richlaji,0.1243 (2),0.1805 (5),0.0509 (2),0.1366 (2),0.1295 (2),
355236,ChengzhiCao,0.1517 (3),0.1747 (4),0.0671 (3),0.2325 (6),0.1505 (4),
316427,boosterbenchmark,0.1517 (3),0.1747 (4),0.0671 (3),0.2325 (6),0.1505 (4),
391393,daysin1037,0.1526 (4),0.2067 (6),0.1175 (4),0.2081 (5),0.1295 (3),
364231,lillian,0.1641 (5),0.1705 (3),0.1383 (6),0.1820 (4),0.1517 (5),
355070,bbbbbanana,0.1643 (6),0.1682 (2),0.1370 (5),0.1819 (3),0.1526 (6),
