submission_pk,User,b'<Rank>',b'Recall',b'Precision',b'F1',b'Accuracy',b'MCC'
482159,timos,- (1),0.6398 (1),0.8442 (1),0.7279 (1),- (-),- (-),
414369,tanfiona,- (1),0.5918 (2),0.6025 (2),0.5971 (2),- (-),- (-),
484916,csecudsg,- (1),0.3612 (3),0.4000 (3),0.3796 (3),- (-),- (-),
484680,pakapro,- (1),0.0000 (4),0.0000 (4),0.0000 (4),- (-),- (-),
