submission_pk,User,b'Acc@60'
169769,TeamCoolDoge,0.6333 (1),
168521,rachneet,0.6333 (1),
168158,vund,0.6073 (2),
170047,hoho5702,0.5480 (3),
169681,yklal95,0.5173 (4),
169591,debanjanghosh,0.4833 (5),
167237,tuhinnlp,0.4427 (6),
170074,peratham.bkk,0.0333 (7),
