submission_pk,User,b'Prediction score'
254509,arthur75,206.091 (1),
255369,wedenigt,209.917 (2),
254841,MerlinLouis,220.460 (3),
256992,ncarmona,255.935 (4),
256883,pelolke,320.288 (5),
254897,LeDuf,369.721 (6),
255450,MonaKaddura,394.492 (7),
256355,rishab.ai,421.793 (8),
