submission_pk,User,b'Completion Rate',b'Success Rate',b'Episode Reward'
10970,pmangg,0.3657 (1),0.1111 (2),-5.49 (3),
10663,neuroAI,0.3401 (2),0.0988 (3),-15.85 (4),
10945,katanasz,0.3189 (3),0.1235 (1),-0.80 (1),
10949,tae898,0.3040 (4),0.0988 (3),-1.07 (2),
10206,iglu_contest,0.2605 (5),0.0123 (4),-16.32 (5),
