submission_pk,User,b'mean_dice',b'Dice_flat',b'Dice_construction',b'Dice_object',b'Dice_nature',b'Dice_sky',b'Dice_human',b'Dice_vehicle'
405815,hakdemir,0.396 (1),0.86 (2),0.72 (1),0.11 (8),0.73 (1),0.64 (2),0.24 (3),0.63 (1),
409335,Danito,0.380 (2),0.80 (13),0.63 (13),0.15 (1),0.67 (2),0.55 (11),0.25 (1),0.54 (8),
407017,scylla,0.375 (3),0.85 (5),0.71 (3),0.13 (4),0.66 (3),0.58 (10),0.24 (4),0.55 (7),
409352,dirkcremers,0.373 (4),0.83 (8),0.68 (5),0.15 (2),0.66 (4),0.61 (5),0.24 (2),0.57 (4),
386712,Jingyuan_Han,0.357 (5),0.84 (7),0.68 (4),0.08 (25),0.63 (7),0.65 (1),0.18 (12),0.58 (2),
407167,texterkate,0.355 (6),0.84 (6),0.71 (2),0.08 (26),0.65 (6),0.59 (7),0.17 (13),0.58 (3),
406059,ninavd1998,0.354 (7),0.82 (11),0.63 (12),0.11 (11),0.65 (5),0.55 (12),0.22 (8),0.53 (9),
406398,dpmeulendijks,0.352 (8),0.77 (17),0.64 (10),0.13 (5),0.61 (8),0.50 (18),0.24 (5),0.56 (5),
408269,jimvermunt,0.341 (9),0.85 (4),0.64 (8),0.10 (14),0.56 (16),0.59 (8),0.13 (24),0.55 (6),
405143,lynchwu,0.336 (10),0.80 (14),0.64 (9),0.09 (16),0.58 (10),0.60 (6),0.20 (9),0.51 (10),
408100,Erastus,0.332 (11),0.88 (1),0.65 (7),0.09 (20),0.60 (9),0.62 (4),0.14 (22),0.45 (18),
406023,Pim,0.331 (12),0.73 (23),0.59 (20),0.12 (7),0.57 (13),0.50 (16),0.22 (7),0.49 (12),
409266,scylla_,0.329 (13),0.83 (9),0.66 (6),0.09 (15),0.54 (17),0.62 (3),0.17 (14),0.47 (15),
405706,lmdlmdlmd,0.329 (14),0.83 (10),0.63 (11),0.08 (24),0.57 (14),0.55 (13),0.19 (11),0.49 (11),
406382,Haiko,0.321 (15),0.68 (28),0.60 (19),0.13 (6),0.53 (18),0.51 (15),0.22 (6),0.47 (16),
406421,francishung,0.318 (16),0.77 (18),0.62 (14),0.11 (9),0.53 (19),0.50 (17),0.14 (23),0.48 (13),
408128,rednas_,0.308 (17),0.79 (16),0.60 (17),0.09 (19),0.58 (12),0.50 (22),0.17 (15),0.48 (14),
408659,laixunqin,0.297 (18),0.75 (20),0.61 (15),0.11 (10),0.52 (21),0.52 (14),0.17 (17),0.42 (19),
408840,Yilei,0.291 (19),0.80 (12),0.54 (28),0.08 (22),0.50 (27),0.48 (26),0.15 (19),0.38 (25),
408623,swpenninga,0.291 (20),0.65 (33),0.47 (35),0.14 (3),0.53 (20),0.50 (21),0.19 (10),0.46 (17),
407877,Yang_Bo,0.288 (21),0.85 (3),0.55 (27),0.09 (18),0.58 (11),0.50 (20),0.12 (27),0.39 (23),
410037,Bratjay,0.284 (22),0.76 (19),0.61 (16),0.06 (32),0.50 (26),0.58 (9),0.11 (29),0.41 (21),
383280,y-ga0,0.277 (23),0.75 (21),0.57 (24),0.07 (27),0.51 (23),0.39 (34),0.15 (21),0.35 (28),
409333,A-R-M-Y,0.275 (24),0.66 (31),0.57 (23),0.10 (13),0.51 (22),0.48 (25),0.12 (26),0.42 (20),
409117,YoosefBidardel,0.273 (25),0.67 (29),0.58 (21),0.09 (21),0.41 (32),0.50 (19),0.16 (18),0.37 (26),
410337,Y.Zhang0126,0.266 (26),0.62 (37),0.60 (18),0.07 (28),0.56 (15),0.42 (32),0.11 (28),0.33 (30),
409222,snkoenen,0.261 (27),0.69 (27),0.58 (22),0.09 (17),0.50 (29),0.44 (29),0.17 (16),0.36 (27),
390288,gdcc,0.256 (28),0.63 (36),0.53 (30),0.07 (30),0.51 (25),0.42 (31),0.12 (25),0.38 (24),
