submission_pk,User,b'Average',"b'R@1, IoU=0.3'","b'R@1, IoU=0.5'","b'R@1, IoU=0.7'"
144872,wzt0,59.96 (1),72.14 (2),61.56 (2),46.18 (1),
144817,zmh,59.41 (2),73.61 (1),62.50 (1),42.12 (2),
144876,Jarvis,53.72 (3),66.71 (3),56.01 (4),38.44 (3),
144756,Minwell-CYM,53.35 (4),66.63 (4),56.36 (3),37.06 (4),
144763,ty133,50.89 (5),65.02 (5),53.22 (5),34.44 (5),
144737,lasjfighaoihf,49.48 (6),62.30 (6),51.90 (6),34.23 (7),
144733,Lisme,49.35 (7),62.05 (9),51.90 (6),34.11 (9),
144672,zjj,49.35 (8),62.03 (10),51.88 (7),34.13 (8),
144652,asdflkja545,49.35 (8),62.03 (10),51.88 (7),34.13 (8),
144716,dlut_732514581,49.20 (9),62.07 (8),51.80 (8),33.74 (10),
144594,zhaojinjian,48.91 (10),61.29 (12),51.09 (11),34.34 (6),
144693,J19980721,48.84 (11),61.76 (11),51.18 (10),33.59 (11),
144690,zjj0000,48.84 (12),61.76 (11),51.20 (9),33.55 (12),
143813,BigFish,47.88 (13),62.03 (10),50.52 (12),31.08 (14),
144709,overwindows,47.15 (14),62.11 (7),49.59 (13),29.76 (15),
143343,dfgjh,46.92 (15),59.80 (13),48.68 (14),32.27 (13),
142566,cheers-up,44.86 (16),58.96 (14),47.75 (15),27.88 (17),
143749,lingeo,43.82 (17),56.75 (15),45.54 (16),29.18 (16),
144077,MISports,40.05 (18),52.41 (16),40.78 (17),26.95 (18),
141645,RainCCH,35.54 (19),49.09 (18),36.92 (19),20.61 (19),
142013,RainChoi,35.30 (20),49.42 (17),37.21 (18),19.27 (22),
141000,richard61,34.85 (21),48.04 (19),36.38 (20),20.12 (20),
135701,wdmmsyf,33.65 (22),46.47 (20),34.71 (21),19.77 (21),
139576,richard_he,3.38 (23),5.14 (21),3.49 (22),1.49 (23),
