submission_pk,User,b'F1',b'Precision',b'Recall'
314639,rabia_bounaama,0.82 (1),0.85 (2),0.78 (2),
156823,M_Zohair,0.80 (2),0.93 (1),0.69 (3),
173013,iguellil,0.63 (3),0.47 (3),0.93 (1),
