submission_pk,User,b'F1 Scre',b'Duration'
471331,harsha20032020,0.7516 (1),0.00 (5),
458518,PolyU_CBS,0.7482 (2),0.00 (6),
408782,ncguo,0.7472 (3),0.00 (13),
422909,HJ,0.7436 (4),0.00 (12),
471193,Brunch,0.7397 (5),0.00 (14),
457953,DeepBlueAI,0.7392 (6),0.00 (7),
406325,DataMonkeys,0.7124 (7),0.00 (1),
464747,sohomghosh,0.7118 (8),0.00 (10),
453532,manzuko,0.6004 (9),0.00 (8),
407334,Cordyceps,0.5935 (10),0.00 (11),
423244,pakapro,0.0359 (11),0.00 (2),
395963,umraos,0.0356 (12),0.00 (4),
447654,lueluelue,0.0316 (13),0.00 (3),
471516,pawan2411,-1.0000 (14),0.00 (9),
