submission_pk,User,b'PSNR',b'SSIM',b'Runtime per image [s]',b'CPU [1]/ GPU [0]',b'Extra Data [1] / No Extra Data [0]'
72963,ymxl4630,32.5618 (1),0.8973 (3),0.00 (2),1.00 (1),0.00 (2),
73211,YUNR,32.5525 (2),0.8978 (2),-1.00 (1),-1.00 (3),-1.00 (3),
73301,lubovbyc,32.5313 (3),0.8978 (1),0.00 (2),0.00 (2),0.00 (2),
72901,tszs,32.4732 (4),0.8968 (5),-1.00 (1),-1.00 (3),-1.00 (3),
63769,ax,32.4157 (5),0.8972 (4),0.00 (2),1.00 (1),1.00 (1),
72554,nagejacob,32.4063 (6),0.8965 (6),-1.00 (1),-1.00 (3),-1.00 (3),
65653,zhangzhilu,32.3749 (7),0.8961 (7),-1.00 (1),-1.00 (3),-1.00 (3),
69784,hasaki,32.3623 (8),0.8955 (10),0.20 (7),0.00 (2),1.00 (1),
71515,Accusefive,32.3615 (9),0.8956 (9),0.20 (7),0.00 (2),1.00 (1),
71936,cosine,32.3396 (10),0.8956 (8),0.00 (2),0.00 (2),0.00 (2),
72649,in3omnia,32.2565 (11),0.8940 (11),0.00 (2),0.00 (2),0.00 (2),
72622,zoro,32.2516 (12),0.8940 (12),0.00 (2),0.00 (2),0.00 (2),
52493,AvengersAssemble,32.1691 (13),0.8931 (17),0.20 (7),0.00 (2),0.00 (2),
70783,thongbach,32.1399 (14),0.8936 (13),1.20 (12),0.00 (2),0.00 (2),
44544,HatsuneMiku,32.1191 (15),0.8935 (14),0.00 (2),0.00 (2),1.00 (1),
50017,MakeStereoSRGreatAgain,32.1084 (16),0.8932 (16),-1.00 (1),0.00 (2),-1.00 (3),
59046,liangby,32.0891 (17),0.8933 (15),0.00 (2),0.00 (2),0.00 (2),
70177,hippopmonkey,32.0462 (18),0.8913 (21),0.00 (2),1.00 (1),0.00 (2),
47662,SCUEC_IVLab,32.0412 (19),0.8927 (18),0.00 (2),0.00 (2),0.00 (2),
43551,NTIRE21_winner_method,31.9980 (20),0.8916 (19),-1.00 (1),-1.00 (3),-1.00 (3),
59597,lx,31.9545 (21),0.8914 (20),0.00 (2),1.00 (1),0.00 (2),
55790,YijianZhang,31.8711 (22),0.8899 (24),-1.00 (1),0.00 (2),0.00 (2),
50707,ntire22isgood,31.8536 (23),0.8898 (26),-1.00 (1),-1.00 (3),-1.00 (3),
62875,luodengyan,31.8500 (24),0.8900 (22),0.16 (6),0.00 (2),0.00 (2),
70402,lixin41,31.8372 (25),0.8897 (27),0.00 (2),1.00 (1),0.00 (2),
59962,aprBlue,31.8266 (26),0.8900 (23),0.89 (10),0.00 (2),0.00 (2),
52684,CVman,31.7996 (27),0.8898 (25),0.09 (4),0.00 (2),1.00 (1),
63821,Mrobot,31.7601 (28),0.8885 (28),0.00 (2),0.00 (2),0.00 (2),
58879,haha,31.6122 (29),0.8862 (29),0.00 (2),1.00 (1),0.00 (2),
46752,sr_enhance,31.4877 (30),0.8847 (31),0.00 (2),1.00 (1),0.00 (2),
69014,hyang,31.4863 (31),0.8852 (30),-1.00 (1),-1.00 (3),-1.00 (3),
69839,Steven,31.4671 (32),0.8827 (35),10.00 (14),1.00 (1),0.00 (2),
44809,PixelBE,31.4178 (33),0.8845 (32),1.00 (11),0.00 (2),0.00 (2),
57152,lchia,31.4162 (34),0.8835 (33),10.43 (15),0.00 (2),0.00 (2),
51703,BookerDewitt65,31.3796 (35),0.8835 (34),0.00 (2),1.00 (1),0.00 (2),
48934,xzhuai,31.1261 (36),0.8761 (40),0.00 (2),1.00 (1),0.00 (2),
49680,Layer,31.1079 (37),0.8797 (36),0.00 (2),1.00 (1),0.00 (2),
61191,Chao_Zhu,31.0483 (38),0.8787 (38),-1.00 (1),-1.00 (3),-1.00 (3),
56670,pavelost,30.9903 (39),0.8792 (37),0.00 (2),1.00 (1),0.00 (2),
57818,wjkim81,30.9817 (40),0.8782 (39),282.38 (16),0.00 (2),0.00 (2),
65374,chenmigongzuo,30.9671 (41),0.8736 (43),1.00 (11),0.00 (2),0.00 (2),
60385,XiaofengPan,30.9459 (42),0.8741 (42),0.54 (9),0.00 (2),0.00 (2),
48046,Nicola17,30.8212 (43),0.8706 (45),2.00 (13),1.00 (1),0.00 (2),
47699,jkpark,30.7918 (44),0.8719 (44),0.12 (5),0.00 (2),0.00 (2),
59491,distoramos,30.7861 (45),0.8743 (41),0.03 (3),0.00 (2),0.00 (2),
71422,LiamDonn,30.6313 (46),0.8688 (47),1.00 (11),0.00 (2),0.00 (2),
48973,lastdancexi,30.5146 (47),0.8664 (48),0.39 (8),0.00 (2),1.00 (1),
44541,fastest,30.4961 (48),0.8690 (46),0.00 (2),1.00 (1),0.00 (2),
43430,RenYang,30.1768 (49),0.8574 (50),0.00 (2),-1.00 (3),-1.00 (3),
45453,xiazhenyz,30.0491 (50),0.8610 (49),0.00 (2),1.00 (1),1.00 (1),
