submission_pk,User,b'f1 (macro avg.)',b'f1 (weighted avg.)',b'U0104',b'U0108',b'U0110',b'U0203',b'U0204',b'U0207'
294735,Malton,0.9846 (1),0.9822 (1),- (6),- (6),- (6),- (6),- (6),- (6),
229580,tomoon,0.9578 (2),0.9676 (2),- (6),- (6),- (6),- (6),- (6),- (6),
293395,yuto21,0.9544 (3),0.9617 (3),- (6),- (6),- (6),- (6),- (6),- (6),
287906,aalanderos95,0.9139 (4),0.9293 (4),- (6),- (6),- (6),- (6),- (6),- (6),
279692,compound,0.9000 (5),0.8990 (7),- (6),- (6),- (6),- (6),- (6),- (6),
265026,hmwri,0.8974 (6),0.9113 (5),0.9430 (1),0.9220 (1),0.8652 (3),0.9101 (1),0.8241 (2),0.8156 (1),
274385,aalanderos95,0.8951 (7),0.9032 (6),- (6),- (6),- (6),- (6),- (6),- (6),
294827,XAVIER096,0.8926 (8),0.8887 (10),- (6),- (6),- (6),- (6),- (6),- (6),
363358,liuqijd,0.8892 (9),0.8976 (9),0.9128 (3),0.9154 (2),0.8853 (2),0.9021 (2),0.7886 (3),0.8123 (2),
487969,javierfuenca,0.8860 (10),0.8980 (8),0.9130 (2),0.8986 (3),0.8995 (1),0.8856 (3),0.8246 (1),0.8021 (3),
294190,UD,0.8725 (11),0.8809 (11),- (6),- (6),- (6),- (6),- (6),- (6),
218358,yuto21,0.8701 (12),0.8753 (12),- (6),- (6),- (6),- (6),- (6),- (6),
282886,SotaroFushimi,0.8350 (13),0.8578 (13),0.8745 (4),0.8705 (4),0.7637 (4),0.8780 (4),0.6918 (4),0.7959 (4),
294514,Shogo_Kawasome,0.8321 (14),0.8360 (14),- (6),- (6),- (6),- (6),- (6),- (6),
304325,Araki-Naoto,0.8229 (15),0.8276 (16),- (6),- (6),- (6),- (6),- (6),- (6),
304042,yuto33,0.8131 (16),0.8103 (19),- (6),- (6),- (6),- (6),- (6),- (6),
331378,llillillillj,0.8109 (17),0.8319 (15),- (6),- (6),- (6),- (6),- (6),- (6),
304949,oryu,0.8100 (18),0.8066 (21),- (6),- (6),- (6),- (6),- (6),- (6),
304472,ken,0.8085 (19),0.8181 (18),- (6),- (6),- (6),- (6),- (6),- (6),
281575,syoka4156,0.8074 (20),0.8236 (17),- (6),- (6),- (6),- (6),- (6),- (6),
304155,shota,0.8071 (21),0.8031 (25),- (6),- (6),- (6),- (6),- (6),- (6),
231533,llillillillj,0.8040 (22),0.8073 (20),- (6),- (6),- (6),- (6),- (6),- (6),
303509,Yuto_koto,0.8026 (23),0.8065 (22),- (6),- (6),- (6),- (6),- (6),- (6),
297104,EmK,0.7963 (24),0.8057 (24),- (6),- (6),- (6),- (6),- (6),- (6),
303611,Kaina,0.7959 (25),0.8059 (23),- (6),- (6),- (6),- (6),- (6),- (6),
288987,morishige_takuy,0.7957 (26),0.8016 (26),- (6),- (6),- (6),- (6),- (6),- (6),
303396,u733913e,0.7907 (27),0.7977 (28),- (6),- (6),- (6),- (6),- (6),- (6),
303662,iqmochi,0.7873 (28),0.7985 (27),- (6),- (6),- (6),- (6),- (6),- (6),
304064,Kiaidake,0.7691 (29),0.7744 (29),- (6),- (6),- (6),- (6),- (6),- (6),
294762,ryutarom,0.7683 (30),0.7684 (30),- (6),- (6),- (6),- (6),- (6),- (6),
304069,SSSHHH,0.7576 (31),0.7463 (35),- (6),- (6),- (6),- (6),- (6),- (6),
304434,yamada,0.7558 (32),0.7577 (32),- (6),- (6),- (6),- (6),- (6),- (6),
303793,ArcNoas,0.7524 (33),0.7644 (31),- (6),- (6),- (6),- (6),- (6),- (6),
300649,harupyonman,0.7469 (34),0.7369 (37),- (6),- (6),- (6),- (6),- (6),- (6),
291141,magixe,0.7340 (35),0.7476 (34),- (6),- (6),- (6),- (6),- (6),- (6),
304442,RyuichiOoe,0.7331 (36),0.7289 (40),- (6),- (6),- (6),- (6),- (6),- (6),
