submission_pk,User,b'PSNR',b'SSIM',b'Runtime per image [s]',b'CPU [1]/ GPU [0]',b'Extra Data [1] / No Extra Data [0]'
373624,haichuan,39.76 (6),0.99 (7),-1.00 (1),0.00 (2),-1.00 (1),
366694,xiaozhazha,44.89 (2),1.00 (2),-1.00 (1),0.00 (2),-1.00 (1),
351818,ir-sde,34.93 (9),0.96 (10),-1.00 (1),0.00 (2),-1.00 (1),
335222,nanashi,34.93 (9),0.96 (10),-1.00 (1),0.00 (2),-1.00 (1),
386355,kongconf,45.01 (1),1.00 (1),0.63 (6),0.00 (2),0.00 (2),
383429,WaldoYang,39.72 (7),0.99 (6),0.94 (7),0.00 (2),0.00 (2),
374830,jwp,44.52 (3),0.99 (3),-1.00 (1),0.00 (2),0.00 (2),
373282,BIGbaodan,37.35 (8),0.98 (8),0.03 (2),0.00 (2),0.00 (2),
371764,JiXiangNiu,34.93 (9),0.96 (10),-1.00 (1),0.00 (2),0.00 (2),
351274,HaotianQian,33.49 (10),0.97 (9),0.43 (3),0.00 (2),0.00 (2),
332526,wangyu,34.93 (9),0.96 (10),18.00 (8),1.00 (1),0.00 (2),
375291,CZG,40.12 (4),0.99 (4),0.55 (4),1.00 (1),1.00 (3),
365087,chovy,40.04 (5),0.99 (5),0.60 (5),1.00 (1),1.00 (3),
