submission_pk,User,b'DER'
344218,Intema,27.4 (1),
347185,SRI-Bangalore,27.7 (2),
346480,BIIClab,28.2 (3),
346663,Zevo-Tech,29.0 (4),
346961,FlySpeech77,30.2 (5),
332857,pyannote,33.2 (6),
344724,fabiocat,33.6 (7),
340763,augnito_speech,37.0 (8),
332489,Inbalri,37.0 (8),
345807,gintautas_VU,37.8 (9),
346836,TCSResearch,38.7 (10),
353030,BASELINES,40.1 (11),
335373,Potatoes,43.3 (12),
346993,AUDIAS-UAM,48.0 (13),
