submission_pk,User,b'ARI'
253417,aayugay99,0.6636 (1),
252306,chomsky,0.4246 (2),
256553,ooodnakov,0.3376 (3),
253658,maryushsoroka,0.3319 (4),
253767,Arkadiy_Vladimirov,0.3054 (5),
254765,Ryzagi,0.3045 (6),
253456,Nick,0.2898 (7),
255112,lkuz_mik,0.2732 (8),
251302,azelentsov,0.2724 (9),
253171,jenchik1,0.2624 (10),
248149,kirakuznetsova,0.2624 (10),
228746,lilaspourpre,0.2624 (10),
253946,lina.bashaeva,0.2469 (11),
253514,EvgeniyGarsiya,0.2469 (11),
251449,kuikek,0.2427 (12),
253736,Evgurov,0.2299 (13),
257571,FD,0.2288 (14),
255345,st_alex2902,0.2271 (15),
253614,happy_hippo,0.2248 (16),
252392,a.makhin,0.2246 (17),
256705,A.Demidova,0.2198 (18),
253497,libraa,0.2195 (19),
253576,niksukhorukov,0.2171 (20),
253313,art-bash,0.2108 (21),
251202,Vir_Ven,0.2060 (22),
256433,Loyso,0.1969 (23),
256541,_twinkle_,0.1892 (24),
255393,GlebMazanov,0.1833 (25),
252661,Gt854,0.1827 (26),
253776,alexsend57,0.1612 (27),
253925,Anastasiia.Batsheva,0.1524 (28),
253787,abdulazizsamra,0.1515 (29),
256058,Veronica_Ivanova,0.1113 (30),
253848,Anastasia,0.1110 (31),
253799,vadimpyx,0.0806 (32),
253312,JuliaKudryavtseva,0.0762 (33),
253974,artgoldman,0.0687 (34),
254052,LA,0.0590 (35),
253705,pashche,0.0255 (36),
255252,Emalk,0.0230 (37),
