submission_pk,User,b'SMPL',b'Object'
443318,coder-james,42.8 (1),104.4 (4),
442603,HyeongjinNam,45.1 (2),87.2 (1),
442129,yingfan,45.3 (3),93.0 (2),
442671,liyanjun,45.8 (4),95.4 (3),
441333,tof5365,58.9 (5),108.4 (5),
292575,xiexh,59.9 (6),109.2 (6),
442220,pakapro,340.6 (7),441.7 (7),
