submission_pk,User,"b'Avg Rank (RD, SN)'",b'Set 3 (RD)',b'Set 4 (SN)',b'Duration'
52702,Ramdane,1.0000 (2),0.2387 (1),0.2037 (1),0.00 (1),
52521,Jilin,1.0000 (2),0.2387 (1),0.2037 (1),0.00 (1),
46803,panacea,2.5000 (1),0.1394 (2),0.0960 (3),0.00 (1),
88669,romainM,2.5000 (1),0.1088 (3),0.1330 (2),0.00 (1),
