submission_pk,User,b'AVG',b'SPICE',b'ROUGE_L',b'CIDEr'
460415,wzt0,0.7614 (1),0.3476 (1),0.4193 (1),1.5172 (1),
456335,juices,0.4076 (2),0.1950 (2),0.2814 (2),0.7465 (2),
447249,pakapro,0.1646 (3),0.0852 (3),0.2062 (3),0.2024 (3),
