submission_pk,User,b'F1 Score'
221966,zhjjn,0.71 (1),
453698,rswamina,0.56 (2),
489693,aaGan,- (3),
472703,carolinarapetti,- (3),
417839,miagittens,- (3),
389997,AbhijeetBanerjee,- (3),
300037,wada,- (3),
submission_pk,User,b'F1 Score'
389997,AbhijeetBanerjee,0.85 (1),
221966,zhjjn,0.83 (2),
489693,aaGan,- (3),
472703,carolinarapetti,- (3),
453698,rswamina,- (3),
417839,miagittens,- (3),
300037,wada,- (3),
submission_pk,User,"b""Spearman's R""","b""Spearman's R (Idiom Only)""","b""Spearman's R (STS Only)"""
300037,wada,0.65 (1),0.40 (1),0.87 (1),
489693,aaGan,- (2),- (2),- (2),
472703,carolinarapetti,- (2),- (2),- (2),
453698,rswamina,- (2),- (2),- (2),
417839,miagittens,- (2),- (2),- (2),
389997,AbhijeetBanerjee,- (2),- (2),- (2),
221966,zhjjn,- (2),- (2),- (2),
submission_pk,User,"b""Spearman's R""","b""Spearman's R (Idiom Only)""","b""Spearman's R (STS Only)"""
489693,aaGan,0.62 (1),0.45 (1),0.81 (1),
417839,miagittens,0.61 (2),0.33 (2),0.78 (2),
300037,wada,NaN (3),NaN (3),NaN (3),
472703,carolinarapetti,- (4),- (4),- (4),
453698,rswamina,- (4),- (4),- (4),
389997,AbhijeetBanerjee,- (4),- (4),- (4),
221966,zhjjn,- (4),- (4),- (4),
