submission_pk,User,b'<Rank>',b'Equal Mis-Opportunity Prison',b'Equal Mis-Opportunity Probation',b'Accuracy',b'Duration'
63271,gabriel.lauzzana,1.7673 (4),1.0000 (1),1.0000 (1),0.5483 (3),0.00 (1),
48352,gaetanserre,2.7673 (2),0.9870 (2),0.9831 (2),0.4942 (4),0.00 (1),
58124,ziqian,2.6163 (3),0.9519 (3),0.9805 (3),0.5619 (2),0.00 (1),
66645,ihsaan-ullah,2.8490 (1),0.2520 (4),0.3919 (4),0.5961 (1),0.00 (1),
63800,SSara,2.8490 (1),0.2520 (4),0.3919 (4),0.5961 (1),0.00 (1),
63433,trustai,2.8490 (1),0.2520 (4),0.3919 (4),0.5961 (1),0.00 (1),
58106,ziqian2,2.8490 (1),0.2520 (4),0.3919 (4),0.5961 (1),0.00 (1),
