submission_pk,User,b'AP @ 0.50:0.95',b'AP @ 0.50',b'AP @ 0.75',b'AP @ 0.50:0.95 (small)',b'AP @ 0.50:0.95 (medium)',b'AP @ 0.50:0.95 (large)'
162947,SeungbumHong,0.023 (1),0.084 (1),0.007 (1),0.001 (1),0.018 (2),0.024 (1),
174117,HyeonGyuChi,0.023 (2),0.081 (2),0.007 (2),0.001 (2),0.022 (1),0.024 (2),
159438,pokemon,0.006 (3),0.031 (3),0.001 (4),0.000 (4),0.002 (4),0.007 (4),
149291,lfbhlx,0.006 (4),0.030 (4),0.001 (3),0.000 (3),0.002 (3),0.008 (3),
162504,jiwoolee,0.000 (5),0.000 (5),0.000 (5),0.000 (5),0.000 (5),0.000 (5),
