submission_pk,User,b'correct'
88187,league,87.1 (1),
88337,MingWang,86.6 (2),
88451,Hongyuan_Yu,86.4 (3),
86681,dmw,86.4 (3),
88179,match,86.4 (4),
87498,game,86.4 (4),
88181,fight,86.2 (5),
88168,a897953291,86.2 (5),
88188,ggyyll,85.7 (6),
88185,xrxr,85.6 (7),
87612,sheep,85.4 (8),
85877,qingyuan,85.3 (9),
86767,xiaohao1,85.3 (10),
82305,XinWang,85.1 (11),
81340,xxyyzz,84.9 (12),
88334,dengzhenxin,84.8 (13),
82664,huihuihui,84.8 (13),
86300,Peizhen,84.6 (14),
86230,team,84.5 (15),
85765,RammusLeo,83.4 (16),
81245,WangYang,83.2 (17),
74680,xusong,83.2 (17),
82286,jiarandegou,83.0 (18),
80195,Haijunxiong,83.0 (18),
82905,pig_,82.1 (19),
80522,yfb,81.9 (20),
88506,vpromise,81.9 (21),
75152,XKMar,81.7 (22),
84720,vv,81.6 (23),
81610,YiYShuxiao,81.6 (23),
81750,jzk,81.2 (24),
85278,daliyang,81.1 (25),
73618,yihhh,81.0 (26),
75919,AIG,80.8 (27),
75287,jarvis_love_dl,80.7 (28),
88400,HouPeiyao,80.6 (29),
70796,Joe,80.5 (30),
83159,changxinle,80.2 (31),
87886,XinghanLu,80.0 (32),
83441,GreatPhi,80.0 (32),
70708,TosakRin,80.0 (32),
65398,JingzheMa,80.0 (32),
87031,rrrrrr,79.9 (33),
83289,yuzhenfu,79.9 (33),
79000,Allen-LW,79.9 (33),
70700,yz,79.9 (33),
67427,BRL-PPY,79.7 (34),
66906,clcc,79.6 (35),
79721,IMAG,79.5 (36),
83628,hehezihehe,78.6 (37),
81464,eeeeee,76.4 (38),
73626,WeiChenglin,73.1 (39),
85181,llcc,71.5 (40),
84893,yyp,71.4 (41),
77817,hanyuanyuan,70.4 (42),
67986,QitaoZhao,69.5 (43),
66698,HWHXRJ,69.0 (44),
65395,Leeeung,68.7 (45),
82881,sdu_key,66.6 (46),
84862,Clemen,66.2 (47),
80828,username,65.6 (48),
79055,Lorlin,56.7 (49),
69022,suhm01,51.7 (50),
80772,AndersonZhangyq,43.6 (51),
85864,wl18232976251,35.3 (52),
66020,potter_zero,31.7 (53),
83346,vuvko,25.4 (54),
83012,zhku,18.1 (55),
84079,wzmwzr,15.6 (56),
82856,qqqwww,2.3 (57),
82291,ou9900,2.1 (58),
