submission_pk,User,b'Accuracy'
117094,lnyang,88.04 (1),
77209,sislab,80.98 (2),
125555,BiBiKo,58.43 (3),
77685,seesee,55.62 (4),
75011,simplexsigil,43.40 (5),
106782,qxh,1.24 (6),
