submission_pk,User,b'IoU'
192615,lambert,0.5527 (1),
192227,yajie,0.5085 (2),
235747,pbevandic,0.4798 (3),
187224,pawneshg,0.4739 (4),
185410,acolovic,0.3419 (5),
submission_pk,User,b'IoU_animal--bird',b'IoU_animal--ground-animal',b'IoU_construction--barrier--curb',b'IoU_construction--barrier--fence',b'IoU_construction--barrier--guard-rail',b'IoU_construction--barrier--other-barrier',b'IoU_construction--barrier--wall',b'IoU_construction--flat--bike-lane',b'IoU_construction--flat--crosswalk-plain',b'IoU_construction--flat--curb-cut',b'IoU_construction--flat--parking',b'IoU_construction--flat--pedestrian-area',b'IoU_construction--flat--rail-track',b'IoU_construction--flat--road',b'IoU_construction--flat--service-lane',b'IoU_construction--flat--sidewalk',b'IoU_construction--structure--bridge',b'IoU_construction--structure--building',b'IoU_construction--structure--tunnel',b'IoU_human--person',b'IoU_human--rider--bicyclist',b'IoU_human--rider--motorcyclist',b'IoU_human--rider--other-rider',b'IoU_marking--crosswalk-zebra',b'IoU_marking--general',b'IoU_nature--mountain',b'IoU_nature--sand',b'IoU_nature--sky',b'IoU_nature--snow',b'IoU_nature--terrain',b'IoU_nature--vegetation',b'IoU_nature--water',b'IoU_object--banner',b'IoU_object--bench',b'IoU_object--bike-rack',b'IoU_object--billboard',b'IoU_object--catch-basin',b'IoU_object--cctv-camera',b'IoU_object--fire-hydrant',b'IoU_object--junction-box',b'IoU_object--mailbox',b'IoU_object--manhole',b'IoU_object--phone-booth',b'IoU_object--pothole',b'IoU_object--street-light',b'IoU_object--support--pole',b'IoU_object--support--traffic-sign-frame',b'IoU_object--support--utility-pole',b'IoU_object--traffic-light',b'IoU_object--traffic-sign--back',b'IoU_object--traffic-sign--front',b'IoU_object--trash-can',b'IoU_object--vehicle--bicycle',b'IoU_object--vehicle--boat',b'IoU_object--vehicle--bus',b'IoU_object--vehicle--car',b'IoU_object--vehicle--caravan',b'IoU_object--vehicle--motorcycle',b'IoU_object--vehicle--on-rails',b'IoU_object--vehicle--other-vehicle',b'IoU_object--vehicle--trailer',b'IoU_object--vehicle--truck',b'IoU_object--vehicle--wheeled-slow',b'IoU_void--car-mount',b'IoU_void--ego-vehicle'
192615,lambert,0.0605 (1),0.0850 (3),0.6541 (1),0.6810 (1),0.6645 (1),0.6630 (1),0.5718 (1),0.3061 (1),0.3535 (2),0.1577 (1),0.2788 (1),0.3427 (1),0.6674 (1),0.9049 (1),0.4547 (1),0.7721 (1),0.7927 (1),0.8907 (1),0.6307 (2),0.8245 (1),0.6100 (2),0.7169 (1),0.0095 (2),0.7557 (1),0.6297 (1),0.6720 (1),0.4623 (1),0.9834 (2),0.8066 (2),0.7256 (1),0.9099 (1),0.7594 (1),0.3842 (1),0.5318 (1),0.1708 (1),0.5703 (1),0.3921 (1),0.0373 (1),0.5747 (1),0.6120 (1),0.0846 (2),0.5165 (1),0.1499 (1),0.0747 (1),0.5452 (1),0.4399 (5),0.5727 (1),0.0000 (4),0.7555 (1),0.5086 (1),0.7953 (1),0.6498 (1),0.6738 (1),0.4402 (1),0.8625 (1),0.9279 (1),0.5795 (1),0.7606 (1),0.7774 (1),0.4742 (1),0.2823 (1),0.7659 (1),0.4122 (1),0.8460 (1),0.9567 (1),
235747,pbevandic,0.0258 (2),0.1278 (2),0.6158 (3),0.6028 (5),0.6215 (5),0.5980 (5),0.5216 (4),0.2057 (4),0.3199 (3),0.1493 (2),0.2063 (2),0.2678 (3),0.5797 (5),0.8903 (3),0.4010 (4),0.7007 (4),0.7323 (3),0.8755 (3),0.6690 (1),0.8115 (2),0.6219 (1),0.6644 (4),0.0020 (3),0.7238 (3),0.5735 (3),0.5814 (5),0.3441 (3),0.9838 (1),0.6968 (5),0.6782 (4),0.9086 (3),0.6721 (5),0.1585 (4),0.4084 (4),0.0121 (3),0.4960 (4),0.3037 (3),0.0000 (3),0.3698 (3),0.3339 (5),0.0000 (3),0.4490 (2),0.0254 (4),0.0000 (3),0.4957 (2),0.5356 (1),0.5128 (4),0.5186 (2),0.7497 (2),0.4104 (4),0.7772 (2),0.5641 (4),0.5911 (4),0.0497 (4),0.7862 (3),0.9178 (2),0.3455 (3),0.6315 (5),0.5016 (4),0.1792 (4),0.0319 (4),0.7294 (4),0.2020 (3),0.7799 (4),0.9476 (3),
192227,yajie,0.0000 (3),0.2558 (1),0.5732 (4),0.6501 (2),0.6487 (3),0.6559 (4),0.5475 (2),0.2614 (2),0.2768 (4),0.1419 (3),0.1920 (3),0.3153 (2),0.6290 (2),0.8866 (4),0.4253 (3),0.7214 (3),0.7536 (2),0.8793 (2),0.5229 (4),0.7818 (4),0.5154 (4),0.6800 (3),0.0164 (1),0.7114 (4),0.5404 (4),0.6234 (3),0.3494 (2),0.9793 (5),0.8107 (1),0.6764 (5),0.9080 (4),0.7383 (2),0.3456 (2),0.4547 (2),0.0430 (2),0.5359 (2),0.3806 (2),0.0025 (2),0.4834 (2),0.4708 (2),0.1121 (1),0.4435 (3),0.0319 (3),0.0138 (2),0.4362 (5),0.5172 (2),0.5721 (2),0.5352 (1),0.7292 (3),0.4806 (2),0.7692 (3),0.6169 (2),0.6475 (2),0.2148 (2),0.7859 (4),0.9061 (4),0.2959 (4),0.7304 (2),0.6395 (2),0.3851 (2),0.1470 (2),0.7298 (2),0.2672 (2),0.8448 (2),0.8160 (4),
187224,pawneshg,0.0000 (3),0.0000 (5),0.6305 (2),0.6333 (3),0.6562 (2),0.6614 (2),0.5059 (5),0.2219 (3),0.3785 (1),0.1099 (4),0.1827 (4),0.2626 (4),0.6216 (3),0.8928 (2),0.4546 (2),0.7243 (2),0.7312 (5),0.8681 (5),0.6011 (3),0.7694 (5),0.5055 (5),0.6387 (5),0.0000 (4),0.7321 (2),0.5911 (2),0.6075 (4),0.3028 (4),0.9814 (4),0.7623 (3),0.6981 (2),0.9058 (5),0.7080 (3),0.1340 (5),0.3408 (5),0.0000 (5),0.4923 (5),0.0000 (4),0.0000 (3),0.3510 (4),0.4318 (4),0.0000 (3),0.3685 (4),0.0621 (2),0.0000 (3),0.4751 (3),0.4604 (3),0.5585 (3),0.4995 (3),0.7110 (4),0.4377 (3),0.7576 (4),0.5912 (3),0.5616 (5),0.0316 (5),0.7628 (5),0.9113 (3),0.4756 (2),0.6975 (4),0.4444 (5),0.3292 (3),0.1083 (3),0.7039 (5),0.0000 (5),0.8127 (3),0.9535 (2),
185410,acolovic,0.0000 (3),0.0770 (4),0.0000 (5),0.6317 (4),0.6434 (4),0.6585 (3),0.5256 (3),0.0000 (5),0.0000 (5),0.0000 (5),0.0000 (5),0.0000 (5),0.5896 (4),0.7646 (5),0.0000 (5),0.5797 (5),0.7315 (4),0.8721 (4),0.3739 (5),0.7834 (3),0.5763 (3),0.7023 (2),0.0000 (4),0.0000 (5),0.0000 (5),0.6533 (2),0.0000 (5),0.9823 (3),0.7314 (4),0.6938 (3),0.9091 (2),0.6777 (4),0.2376 (3),0.4383 (3),0.0064 (4),0.5148 (3),0.0000 (4),0.0000 (3),0.2588 (5),0.4493 (3),0.0000 (3),0.0000 (5),0.0000 (5),0.0000 (3),0.4572 (4),0.4418 (4),0.0000 (5),0.0000 (4),0.6542 (5),0.0000 (5),0.6345 (5),0.5317 (5),0.6177 (3),0.1200 (3),0.8155 (2),0.6978 (5),0.0000 (5),0.7266 (3),0.5874 (3),0.0992 (5),0.0096 (5),0.7294 (3),0.0397 (4),0.0000 (5),0.0000 (5),
