submission_pk,User,b'Prediction'
58781,AsheLee,0.5447 (1),
59242,Wi11Chan,0.5270 (2),
57319,SpringRain,0.4601 (3),
57077,IPIU-XDU,0.4500 (4),
52171,caicai,0.4291 (5),
58061,PPAA,0.4087 (6),
58772,PingPingPangPangBangBangBang,0.4032 (7),
54530,zq,0.4011 (8),
53728,Weever,0.4009 (9),
57112,yixinzhishui,0.3964 (10),
58574,wyndy,0.3954 (11),
57615,PZH,0.3894 (12),
45767,zx,0.3822 (13),
54485,linshan,0.3817 (14),
50351,Einfall,0.3809 (15),
58703,mcer,0.3790 (16),
44336,lyx,0.3758 (17),
51660,wly,0.3740 (18),
46780,ZeroClimbToSky,0.3689 (19),
39168,yyc,0.3673 (20),
58237,carryhjr,0.3568 (21),
49845,cloud,0.3514 (22),
54341,xyz,0.3513 (23),
41052,hzj,0.3507 (24),
55009,BDD,0.3482 (25),
39951,EVER,0.3480 (26),
52212,bxh,0.3452 (27),
50107,shan,0.3415 (28),
47182,wlb,0.3412 (29),
52602,xxl,0.3409 (30),
46269,dakhfjaksjh,0.3379 (31),
48936,ZheWang,0.3337 (32),
51642,Marco_Ma,0.3333 (33),
51793,freav,0.3286 (34),
52371,PyBigStar1,0.3201 (35),
57736,lch,0.3188 (36),
50946,ygjwsl,0.3175 (37),
53588,mqy,0.3036 (38),
52830,JingtaoLi2,0.2997 (39),
47465,drs,0.2980 (40),
58218,songxinran,0.2973 (41),
51603,JXX,0.2966 (42),
58433,xvsdva,0.2903 (43),
48406,lanling,0.2884 (44),
48681,lfbhlx,0.2861 (45),
54905,rs_bdm,0.2860 (46),
53731,barluke,0.2860 (47),
39903,Elektra,0.2827 (48),
58609,wanli,0.2822 (49),
43376,cayala,0.2768 (50),
38949,CCC,0.2739 (51),
44766,rssisu,0.2719 (52),
51869,pineable,0.2699 (53),
52820,Mango,0.2661 (54),
51003,Senrition,0.2634 (55),
50959,yangping,0.2634 (55),
46090,CarnoZhao,0.2542 (56),
57806,zhangdongsheng6,0.2527 (57),
43497,Gnocchi,0.2523 (58),
55769,moreGPU,0.2517 (59),
51780,Megrez,0.2477 (60),
35772,JLashN,0.2445 (61),
45773,WidenSun,0.2418 (62),
54685,Henryljp,0.2406 (63),
36313,apxxx,0.2390 (64),
52603,edornd,0.2384 (65),
48217,link,0.2322 (66),
55591,huilin16,0.2279 (67),
47861,dong970130,0.2251 (68),
49177,gugu,0.2187 (69),
54323,Nankle,0.2172 (70),
45007,abdulbasit,0.2156 (71),
52736,HZ-AIR,0.2148 (72),
58528,guoshibo,0.2130 (73),
57066,chhumme,0.2088 (74),
53104,zui,0.2066 (75),
35814,austas,0.1995 (76),
57819,liuwang20144623,0.1942 (77),
57986,safaB,0.1881 (78),
33236,jsensio,0.1866 (79),
37547,IHAVEAPTX4869,0.1862 (80),
43033,neilzgx,0.1845 (81),
36315,WangHao,0.1777 (82),
53181,honey,0.1753 (83),
54325,Ayoub_Damak,0.1742 (84),
48189,wahaha,0.1713 (85),
53624,wangbiqi,0.1675 (86),
54758,SuzannaCuypers,0.1650 (87),
53204,WestFish1,0.1607 (88),
48096,j911,0.1593 (89),
49395,hushuaiouc,0.1568 (90),
36497,Tennant,0.1521 (91),
53880,mahdi_hadjkacem,0.1471 (92),
40557,LauraChow,0.1461 (93),
37250,QQCP,0.1393 (94),
45426,xudongzhao461,0.1359 (95),
35311,MEYE,0.1351 (96),
38316,xt22,0.1329 (97),
36695,mapaf2,0.1328 (98),
36792,Doh,0.1297 (99),
36299,Ice-Water,0.1292 (100),
32906,isaaccorley,0.1278 (101),
39498,iodine,0.1276 (102),
47392,RuiTan,0.1273 (103),
52956,graygogo,0.1270 (104),
48850,b435,0.1213 (105),
51724,avinash_nesac,0.1199 (106),
35859,zj,0.1190 (107),
48563,zyx,0.1183 (108),
35151,JianBai,0.1180 (109),
38073,Qiu,0.1132 (110),
50575,zxp,0.1080 (111),
45061,chenzhiwen,0.1069 (112),
35007,shafner,0.0074 (113),
39236,EOC,0.0000 (114),
