submission_pk,User,b'F1 (Fine-grained)',b'Precision (Fine-grained)',b'Recall (Fine-grained)',b'F1 (Coarse-grained)',b'Precision (Coarse-grained)',b'Recall (Coarse-grained)'
300478,KDDIE,0.807 (1),0.829 (1),0.799 (1),0.914 (2),0.917 (2),0.912 (1),
312030,bizner,0.787 (2),0.807 (2),0.780 (2),0.916 (1),0.924 (1),0.909 (2),
309478,emukans,0.767 (3),0.783 (3),0.763 (3),0.855 (3),0.857 (3),0.857 (3),
309299,Ohnmar,0.747 (4),0.759 (4),0.742 (4),0.838 (5),0.843 (5),0.835 (4),
301008,ikergarcia,0.725 (5),0.743 (5),0.716 (5),0.841 (4),0.850 (4),0.834 (5),
304712,amirsartipi,0.706 (6),0.712 (6),0.711 (6),0.816 (6),0.813 (6),0.820 (7),
463083,FII_Better,0.699 (7),0.709 (7),0.705 (7),0.812 (7),0.806 (7),0.821 (6),
311864,LeoEvenss,0.628 (8),0.657 (8),0.614 (10),0.775 (9),0.781 (9),0.770 (10),
311899,iris,0.622 (9),0.635 (10),0.621 (9),0.782 (8),0.785 (8),0.781 (9),
312798,MISHA,0.580 (10),0.622 (11),0.570 (11),0.728 (10),0.744 (11),0.713 (11),
303349,ce.goga,0.573 (11),0.517 (13),0.677 (8),0.686 (13),0.601 (13),0.820 (8),
305900,Reza.zx,0.571 (12),0.642 (9),0.545 (13),0.724 (11),0.766 (10),0.688 (13),
311985,sbiales,0.567 (13),0.579 (12),0.569 (12),0.702 (12),0.709 (12),0.696 (12),
302464,honghanhh,0.310 (14),0.320 (14),0.423 (14),0.483 (14),0.393 (14),0.676 (14),
