submission_pk,User,b'Task 1 Score',b'Task 2 Score',b'Task 3 Score'
468020,amunozo,0.8226 (1),0.4153 (2),0.1672 (1),
469705,pughrob,0.7954 (2),0.4307 (1),0.0286 (2),
468413,pakapro,0.0452 (3),0.0000 (3),0.0000 (3),
