submission_pk,User,b'F1 Stance Detection',b'F1 Premise Classification'
40900,camalibi,0.7130 (1),0.6847 (1),
413653,erdzhemadinov,0.7048 (2),0.6367 (6),
37000,orzhan,0.7012 (3),0.6423 (5),
50245,unknown123,0.6723 (4),0.6663 (2),
407924,exxxplainer,0.6711 (5),0.6429 (4),
50305,sevastyanm,0.6660 (6),0.6526 (3),
43212,iamdenay,0.6577 (7),0.6251 (7),
44880,ursdth,0.6387 (8),0.6027 (9),
411226,isaf27,0.6306 (9),0.6243 (8),
42445,nuged,0.6004 (10),0.5670 (14),
48338,sopilnyak,0.5956 (11),0.5126 (18),
418176,zhilnikova,0.5944 (12),0.5736 (11),
419538,toxicmopsic,0.5642 (13),0.5885 (10),
411989,art-bash,0.5564 (14),0.5734 (12),
409349,chomsky,0.5517 (15),0.5676 (13),
411516,niksukhorukov,0.5482 (16),0.5182 (17),
406988,JuliaKudryavtseva,0.5357 (17),0.5479 (15),
406156,Vir_Ven,0.5334 (18),0.4921 (20),
46536,kazzand,0.5196 (19),0.4829 (22),
50172,invincible,0.5097 (20),0.5297 (16),
82624,petr_sokerin,0.5066 (21),0.4839 (21),
412166,Nuzhnov_Mark,0.5044 (22),0.4405 (27),
64729,ilya_k1LL3r,0.4968 (23),0.4939 (19),
403449,libraa,0.4918 (24),0.4792 (23),
407386,nlp_user,0.4898 (25),0.4570 (24),
409966,Bari,0.4616 (26),0.3767 (29),
70675,gschernikova,0.4395 (27),0.4063 (28),
50659,regibezh,0.4127 (28),0.4523 (25),
24204,lilaspourpre,0.3924 (29),0.4517 (26),
415850,alexander_stepikin,0.3358 (30),0.3251 (30),
38247,antongolubev,0.3241 (31),0.2963 (32),
406171,Mekan,0.3191 (32),0.3081 (31),
399866,BGDNick,0.2889 (33),0.2954 (33),
48917,georgeMK,0.0566 (34),0.0360 (34),
222821,maksmerben,0.0000 (35),0.0000 (35),
