submission_pk,User,b'score',b'Computation time'
149780,richard_wth,38.09 (1),2383.57 (3),
147481,L2RPN,22.58 (2),16.11 (1),
149400,rhapsody,-9.19 (3),415.99 (2),
140613,pavao,-130.00 (4),99999.00 (4),
