submission_pk,User,b'AUC score',b'Duration'
81036,xwj,0.9925 (1),0.01 (13),
79522,Bryan,0.9924 (2),0.00 (8),
83324,xiaoluohao,0.9751 (3),0.01 (9),
81768,HanChen,0.9278 (4),0.00 (2),
79846,guanjz,0.9206 (5),0.01 (10),
82130,wany,0.9124 (6),0.00 (3),
76735,mapooon,0.8780 (7),0.00 (5),
83517,JYL,0.7463 (8),0.01 (12),
82654,chinatelecom_cv,0.6286 (9),0.00 (1),
82035,Kolami,0.5668 (10),0.01 (11),
82541,UNILJ-FRI-LRV-FE-LSI,0.5508 (11),0.00 (4),
84381,bob_peng,0.5201 (12),0.00 (6),
76208,qian-long,0.5201 (12),0.00 (7),
79054,fangmingqi,0.4657 (13),0.01 (14),
