submission_pk,User,b'AUROC (\xe2\x86\x91)',b'AUPR (\xe2\x86\x91)',b'FPR95 (\xe2\x86\x93)'
222780,tdteach,100.0 (1),100.0 (1),0.0 (1),
222783,zwa2,100.0 (1),100.0 (1),0.0 (1),
222737,ferder,100.0 (1),100.0 (1),0.0 (1),
222318,pavel.pleskov,99.7 (2),99.7 (2),2.4 (2),
222056,tianjian10,93.5 (3),94.3 (3),40.8 (4),
221826,easytrojansniper,92.0 (4),89.6 (4),34.0 (3),
221997,dongyuanjushi,92.0 (5),89.6 (4),34.0 (3),
221178,YuliangXue,54.3 (6),53.7 (5),100.0 (9),
221029,amsqr,50.5 (7),49.4 (7),94.2 (5),
220318,mmazeika,49.8 (8),50.0 (6),96.2 (7),
221612,dpopovic,49.4 (9),48.7 (9),96.2 (7),
222436,mrsarthakgupta,47.2 (10),49.2 (8),96.8 (8),
220667,AshLars,46.7 (11),48.3 (10),95.4 (6),
