submission_pk,User,b'Execution Accuracy',b'Program Accuracy'
134411,wbin,75.43 (1),73.71 (1),
85370,dlc-lls,70.00 (2),68.76 (2),
110685,qinhui99,69.83 (3),68.44 (3),
136223,eisenjulian,67.13 (4),64.69 (4),
94890,Jingo,65.48 (5),63.56 (5),
96682,leezy,62.60 (6),61.46 (6),
101219,zhiyuchen,61.24 (7),58.86 (8),
107266,orzhan,60.48 (8),59.71 (7),
107159,guanyuhang,53.52 (9),50.76 (9),
