submission_pk,User,b'< Rank >',b'MCC',b'Recall',b'Precision',b'Disk Footprint (Bytes)',b'Model Params'
167164,IST-Unbabel,0.83 (1),0.7209 (1),0.7606 (1),0.7606 (1),2260735025.0 (1),565137435.0 (1),
167116,OrganizersBaselines,1.67 (2),-0.0013 (2),0.1408 (2),0.1408 (2),2277430785.0 (2),569330715.0 (2),
