submission_pk,User,b'PSNR',b'SSIM',b'Runtime per image [s]',b'CPU [1]/ GPU [0]',b'Extra Data [1] / No Extra Data [0]'
78594,hsslab,24.027 (1),0.795 (2),11.23 (6),1.00 (1),0.00 (1),
78462,whlzy,23.770 (2),0.799 (1),0.33 (3),1.00 (1),0.00 (1),
78292,NUS_CV,21.857 (7),0.711 (7),10.00 (5),1.00 (1),0.00 (1),
78098,huangjiamian,22.648 (5),0.770 (5),1.00 (4),0.00 (2),0.00 (1),
77600,LBJ,22.648 (5),0.770 (5),-1.00 (1),0.00 (2),0.00 (1),
77379,Alex_Zhou,22.043 (6),0.733 (6),0.16 (2),1.00 (1),0.00 (1),
63945,ChangEn,19.182 (8),0.578 (9),11.23 (6),1.00 (1),0.00 (1),
63717,runzeer,18.545 (9),0.622 (8),11.23 (6),1.00 (1),0.00 (1),
78814,sanchit,22.818 (4),0.774 (4),-1.00 (1),-1.00 (3),-1.00 (2),
78786,jiayin,22.894 (3),0.785 (3),-1.00 (1),-1.00 (3),-1.00 (2),
