submission_pk,User,b'F1 Average',b'F1 Object',b'F1 Aspect',b'F1 Predicate',b'F1 Average partial',b'F1 Object partial',b'F1 Aspect partial',b'F1 Predicate partial'
147612,TumanovGA,0.876249 (1),0.929852 (1),0.649231 (1),0.928361 (1),0.894164 (1),0.937617 (1),0.707000 (2),0.938502 (1),
157366,MaksimB,0.865833 (2),0.919897 (3),0.637594 (4),0.917903 (3),0.882580 (3),0.922997 (3),0.701078 (3),0.928783 (3),
14125,IskanderA,0.865221 (3),0.927835 (2),0.625978 (6),0.908730 (4),0.884068 (2),0.933162 (2),0.687141 (5),0.924438 (4),
157936,egorepishin,0.862716 (4),0.910871 (4),0.646067 (3),0.918033 (2),0.879778 (4),0.913790 (4),0.710209 (1),0.929926 (2),
157367,George_Kr,0.842427 (5),0.885956 (5),0.628655 (5),0.904433 (5),0.858042 (5),0.888420 (5),0.682118 (6),0.919212 (5),
154979,NosenkoArtem,0.830479 (6),0.878261 (7),0.617021 (7),0.884354 (7),0.847018 (6),0.880435 (7),0.672597 (8),0.901523 (6),
14537,FALCON25000,0.815525 (7),0.878885 (6),0.560976 (9),0.867888 (8),0.834690 (7),0.882101 (6),0.620503 (9),0.889746 (8),
14336,olya-const,0.814856 (8),0.848975 (10),0.616022 (8),0.884393 (6),0.831654 (8),0.851133 (10),0.674424 (7),0.900610 (7),
159999,SergeyDes,0.813506 (9),0.854400 (9),0.648336 (2),0.847890 (11),0.829030 (9),0.860622 (9),0.691438 (4),0.862283 (12),
14259,AlexanderV,0.801026 (10),0.870056 (8),0.509874 (10),0.867327 (9),0.819954 (10),0.873652 (8),0.574357 (10),0.884323 (9),
259285,jenchik1,0.718586 (11),0.771462 (11),0.389694 (12),0.840237 (13),0.735418 (11),0.773202 (11),0.445921 (12),0.858810 (13),
15118,NadezhdaAlsahanova,0.642952 (12),0.588974 (14),0.471429 (11),0.858291 (10),0.657422 (12),0.588974 (14),0.520506 (11),0.876549 (10),
24628,prosvirinKir,0.627604 (13),0.613158 (12),0.354717 (14),0.837161 (14),0.637803 (13),0.613158 (12),0.388522 (14),0.850557 (15),
14323,orlova_j,0.563908 (14),0.551806 (16),0.328018 (15),0.744337 (19),0.571722 (15),0.552793 (16),0.338838 (15),0.762855 (19),
258253,Chirkov_Igor,0.558335 (15),0.505036 (17),0.281905 (16),0.842629 (12),0.574802 (14),0.505755 (17),0.333810 (16),0.864708 (11),
259117,Mariia_Sosnovskaya,0.556308 (16),0.595052 (13),0.094763 (19),0.793066 (18),0.561664 (16),0.596354 (13),0.102411 (19),0.804442 (18),
151365,VatolinAlexey,0.516868 (17),0.584422 (15),0.364198 (13),0.493230 (20),0.534468 (17),0.587550 (15),0.425489 (13),0.508543 (20),
249120,shitkov,0.487698 (18),0.380153 (20),0.274223 (17),0.830890 (15),0.504954 (18),0.380916 (20),0.333703 (17),0.850603 (14),
258249,artgoldman,0.485330 (19),0.397218 (19),0.232824 (18),0.818449 (16),0.500418 (19),0.397218 (19),0.284828 (18),0.836932 (16),
251786,livington,0.476009 (20),0.442013 (18),0.085333 (20),0.800817 (17),0.484443 (20),0.441284 (18),0.096000 (21),0.824821 (17),
142079,tony2022,0.186719 (21),0.147149 (21),0.079208 (21),0.332378 (21),0.192321 (21),0.147762 (21),0.096122 (20),0.339701 (21),
14256,lilaspourpre,0.072352 (22),0.097118 (22),0.018519 (22),0.062257 (22),0.076694 (22),0.100320 (22),0.026219 (22),0.066472 (22),
