submission_pk,User,b'<Rank>',b'Recall',b'Precision',b'F1',b'Accuracy',b'MCC'
176237,gezhang,- (1),0.8261 (1),0.8152 (1),0.8188 (1),0.6065 (1),- (-),
176256,msingh,- (1),0.7826 (2),0.7935 (2),0.7826 (2),0.5968 (2),- (-),
176366,spock,- (1),0.5652 (3),0.7216 (3),0.6262 (3),0.4471 (3),- (-),
176159,hiranmai,- (1),0.0870 (4),0.0614 (4),0.0720 (4),0.3308 (4),- (-),
135433,tanfiona,- (1),0.0217 (5),0.0217 (5),0.0217 (5),0.2084 (5),- (-),
