submission_pk,User,b'< Rank >',b'Classification (AUC ROC)',b'Feature Selection (Balanced Acc.)'
418368,lashum,- (-),0.9219 (1),0.8968 (9),
420726,cheny63,- (-),0.9214 (2),0.9405 (4),
418208,parks14,- (-),0.9203 (3),0.8373 (14),
422016,morala5,- (-),0.9179 (4),0.8452 (13),
421682,YIXUAN,- (-),0.9177 (5),0.7976 (17),
418543,lir15,- (-),0.9170 (6),0.9127 (6),
421962,woodsa4,- (-),0.9145 (7),0.5000 (28),
420257,ghongt,- (-),0.9140 (8),0.9405 (4),
422056,langec2,- (-),0.9139 (9),0.8611 (12),
421794,peperj,- (-),0.9130 (10),0.9484 (3),
421754,rumman,- (-),0.9123 (11),0.9008 (8),
422015,vanesm,- (-),0.9115 (12),0.5040 (27),
421780,grayk6,- (-),0.9108 (13),0.9524 (2),
421027,parada2,- (-),0.9099 (14),0.6071 (22),
421927,solitd,- (-),0.9085 (15),0.8810 (10),
421987,yeh3,- (-),0.9078 (16),0.7817 (18),
413315,smithc22,- (-),0.9077 (17),0.8651 (11),
421789,joec7030,- (-),0.9068 (18),0.7262 (19),
420782,liuz28,- (-),0.9058 (19),0.8810 (10),
421673,jonese6,- (-),0.9042 (20),0.8254 (16),
421820,huangy29,- (-),0.9042 (21),0.8294 (15),
421765,nawara,- (-),0.9018 (22),0.9405 (4),
421819,kellyc8,- (-),0.9009 (23),0.9603 (1),
421672,fungb2,- (-),0.8976 (24),0.9048 (7),
421675,zhangw21,- (-),0.8905 (25),0.6071 (22),
422340,mint,- (-),0.8783 (26),0.6429 (20),
421916,gisios,- (-),0.8641 (27),0.5675 (24),
418356,lahira,- (-),0.8638 (28),0.5754 (23),
421838,RobinZhang,- (-),0.8634 (29),0.5754 (23),
421847,dwalz,- (-),0.8590 (30),0.9365 (5),
414148,durre,- (-),0.8564 (31),0.6310 (21),
422422,hub7,- (-),0.8479 (32),0.5754 (23),
421668,batemi,- (-),0.8479 (32),0.5754 (23),
413220,wangy70,- (-),0.8479 (32),0.3175 (29),
408541,zhangc23,- (-),0.8479 (32),0.5754 (23),
404160,lant,- (-),0.8479 (32),0.5754 (23),
404767,lenahc,- (-),0.8430 (33),0.5595 (25),
404249,gurril,- (-),0.8228 (34),0.5317 (26),
