submission_pk,User,b'Prediction score',b'Duration'
313699,dtran,0.3333 (1),0.00 (1),
291980,ihsaan-ullah,0.3333 (1),0.00 (1),
177123,acletournel,0.3333 (1),0.00 (1),
147261,pavao,0.3333 (1),0.00 (1),
147262,guyon,0.3333 (1),0.00 (1),
