submission_pk,User,b'score'
484793,sense-dl-lab,0.7005 (1),
484844,AIPL-BME-SEU,0.6860 (2),
484802,USTC-qw,0.6846 (3),
484855,AI4AI,0.6783 (4),
484603,T_MERG,0.6765 (5),
484337,XiaojiangPeng,0.6702 (6),
484297,hudesheng,0.6675 (7),
484133,suda_iai,0.6087 (8),
484338,JSNU-EMO,0.6025 (9),
481685,chenhaifeng,0.5988 (10),
483109,Fudan-DML,0.5880 (11),
484229,MCI-SCUT,0.5819 (12),
481290,Beihang_Information_Security_and_Intelligent_Information_Processing_Laboratory,0.5713 (13),
483313,nsddd,0.5673 (14),
481336,win123,0.5655 (15),
484727,TUA1,0.5561 (16),
478903,cenjinglun1999,0.5551 (17),
479790,lekkoliu,0.5453 (18),
484760,CCNUNLP,0.5446 (19),
483253,macaroni231,0.5422 (20),
482808,Emo,0.4977 (21),
484806,SDNU_LY,0.4639 (22),
483995,Cognitist,0.1612 (23),
478917,zeroqiaoba,-0.8576 (24),
