submission_pk,User,b'ARI'
256967,A.Demidova,0.9826 (1),
256009,lkuz_mik,0.9802 (2),
253300,Nick,0.9428 (3),
253467,aayugay99,0.9217 (4),
251121,azelentsov,0.9192 (5),
252091,chomsky,0.9022 (6),
253959,Anastasia,0.8427 (7),
253363,art-bash,0.8423 (8),
256429,ooodnakov,0.8347 (9),
253352,maryushsoroka,0.8218 (10),
252537,andreuka18,0.8030 (11),
252162,a.makhin,0.8007 (12),
253797,KuzminSergey,0.7843 (13),
254029,alexsend57,0.7560 (14),
255293,st_alex2902,0.7505 (15),
244914,artgoldman,0.7404 (16),
253856,Anastasiia.Batsheva,0.7120 (17),
253962,Veronica_Ivanova,0.6777 (18),
277559,kirakuznetsova,0.6730 (19),
253509,happy_hippo,0.6706 (20),
253748,Evgurov,0.6603 (21),
251396,kuikek,0.6531 (22),
253806,Arkadiy_Vladimirov,0.6494 (23),
252479,libraa,0.6424 (24),
253972,abdulazizsamra,0.6422 (25),
254493,JuliaKudryavtseva,0.6391 (26),
250628,Vir_Ven,0.6336 (27),
253694,Ryzagi,0.6330 (28),
254857,_twinkle_,0.6313 (29),
253893,LaGrunje,0.6176 (30),
253716,jenchik1,0.6054 (31),
253124,vadimartemov,0.5848 (32),
253546,niksukhorukov,0.5832 (33),
253782,mashmallow,0.5819 (34),
253391,EvgeniyGarsiya,0.5774 (35),
253815,vadimpyx,0.5509 (36),
256313,Loyso,0.5508 (37),
252796,Gt854,0.5491 (38),
282531,Egor,0.5343 (39),
228757,lilaspourpre,0.5275 (40),
278229,bbogdanovaalina,0.4021 (41),
255390,GlebMazanov,0.3482 (42),
278142,m_trofimov,0.1824 (43),
