submission_pk,User,b'mean_dice',b'Dice_flat',b'Dice_construction',b'Dice_object',b'Dice_nature',b'Dice_sky',b'Dice_human',b'Dice_vehicle'
368590,cmichiel,0.197 (47),0.21 (55),0.42 (53),0.08 (38),0.63 (38),0.38 (40),0.09 (43),0.34 (39),
376667,chenbh,0.194 (48),0.61 (47),0.49 (47),0.09 (32),0.47 (49),0.07 (50),0.08 (45),0.16 (50),
407991,Alex-AI-code,0.181 (49),0.69 (45),0.41 (54),0.00 (52),0.53 (47),0.05 (52),0.10 (37),0.28 (43),
409297,Hheij,0.174 (50),0.49 (50),0.49 (46),0.06 (44),0.30 (52),0.26 (45),0.07 (48),0.15 (51),
409405,PimvdVen,0.164 (51),0.69 (44),0.48 (49),0.02 (51),0.28 (53),0.01 (54),0.10 (41),0.22 (47),
367282,HeshengGong,0.149 (52),0.29 (54),0.44 (52),0.08 (39),0.58 (43),0.05 (53),0.08 (44),0.11 (53),
482972,YoosefBidardel,0.147 (53),0.49 (49),0.51 (44),0.05 (46),0.08 (54),0.05 (51),0.04 (52),0.23 (45),
406276,LiuHaoRu,0.132 (54),0.33 (53),0.40 (55),0.00 (55),0.47 (48),0.35 (42),0.00 (55),0.08 (54),
372331,Mboopi,0.079 (55),0.91 (1),0.59 (33),0.03 (50),0.00 (57),0.00 (55),0.00 (55),0.00 (57),
394481,nikoterz,0.011 (56),0.10 (56),0.00 (56),0.00 (53),0.02 (56),0.00 (55),0.03 (54),0.01 (56),
401624,Gugliemo,0.011 (57),0.08 (57),0.00 (56),0.00 (54),0.02 (55),0.00 (55),0.03 (53),0.01 (55),
