submission_pk,User,b'AP',b'AP50',b'AP Bean',b'AP50 Bean',b'AP Maize',b'AP50 Maize'
448300,lueluelue,0.4913 (1),0.7600 (1),0.4916 (1),0.7627 (1),0.4930 (1),0.7547 (1),
448985,smartfarmrobotix,0.4599 (2),0.7020 (3),0.4645 (3),0.7039 (3),0.4519 (2),0.7000 (3),
448823,tariqzioud,0.4593 (3),0.7327 (2),0.4661 (2),0.7364 (2),0.4509 (3),0.7310 (2),
444947,diramazioni,0.4472 (4),0.6935 (4),0.4509 (4),0.6936 (4),0.4458 (4),0.6964 (4),
