submission_pk,User,b'PSNR',b'SSIM',b'Runtime per image [s]',b'CPU [1]/ GPU [0]',b'Extra Data [1] / No Extra Data [0]'
159798,hrrrh,30.19 (12),0.93 (16),10.43 (14),1.00 (1),1.00 (1),
153700,jetblock,30.48 (11),0.95 (13),10.43 (14),1.00 (1),1.00 (1),
139557,SabariNathan,32.63 (10),0.95 (10),10.43 (14),1.00 (1),1.00 (1),
122156,birdortyedi,8.17 (21),0.01 (21),10.43 (14),1.00 (1),1.00 (1),
160082,theMan,33.97 (5),0.96 (5),10.43 (14),1.00 (1),0.00 (2),
160070,terra,30.03 (13),0.93 (17),0.00 (2),0.00 (2),0.00 (2),
160069,LIC,33.34 (8),0.96 (9),10.43 (14),1.00 (1),0.00 (2),
160062,clearlon,34.09 (3),0.96 (3),0.02 (4),0.00 (2),0.00 (2),
160025,CVRG,33.44 (6),0.96 (7),0.15 (8),0.00 (2),0.00 (2),
159985,zuoyi,28.90 (16),0.95 (12),10.43 (14),1.00 (1),0.00 (2),
159954,xdu_wangtao,33.03 (9),0.96 (4),10.43 (14),1.00 (1),0.00 (2),
159273,WangtaekOh,25.94 (17),0.94 (14),0.16 (9),1.00 (1),0.00 (2),
159262,sheee7,33.42 (7),0.96 (8),0.04 (7),0.00 (2),0.00 (2),
158874,YuZhu,35.20 (1),0.97 (1),0.43 (11),0.00 (2),0.00 (2),
155694,Una,34.03 (4),0.96 (6),0.02 (5),0.00 (2),0.00 (2),
153728,aniltrue,8.77 (20),0.13 (20),0.03 (6),0.00 (2),0.00 (2),
143767,diponghosh,29.77 (14),0.95 (11),0.01 (3),0.00 (2),0.00 (2),
135025,SISCODEai,23.43 (19),0.90 (19),1.43 (12),1.00 (1),0.00 (2),
134878,adityac8,25.75 (18),0.93 (15),0.40 (10),0.00 (2),0.00 (2),
134772,a2i2_submission,29.47 (15),0.92 (18),5.00 (13),1.00 (1),0.00 (2),
159685,mialgo_ls,34.19 (2),0.96 (2),-1.00 (1),-1.00 (3),-1.00 (3),
