submission_pk,User,b'Equal Error Rate',b'Balanced Accuracy'
344034,kirant1994,0.139 (1),0.817 (1),
343498,qwertt,0.155 (2),0.701 (2),
344829,sushant.rc,0.156 (3),0.660 (4),
372977,MARGLion,0.197 (4),0.500 (8),
340227,XJUSpeech,0.212 (5),0.519 (6),
345196,dangkhoadl,0.215 (6),0.669 (3),
331261,vicchuayh,0.217 (7),0.509 (7),
335530,UNSW_Signal_Processing,0.229 (8),0.558 (5),
