submission_pk,User,b'F1 (Fine-grained)',b'Precision (Fine-grained)',b'Recall (Fine-grained)',b'F1 (Coarse-grained)',b'Precision (Coarse-grained)',b'Recall (Coarse-grained)'
450112,Anonymous,0.878 (1),0.875 (1),0.885 (2),0.931 (1),0.934 (1),0.929 (2),
312836,Anonymous,0.872 (2),0.856 (2),0.894 (1),0.920 (2),0.912 (2),0.929 (1),
312994,Anonymous,0.831 (3),0.820 (3),0.847 (3),0.897 (4),0.894 (3),0.901 (4),
312475,Anonymous,0.803 (4),0.780 (4),0.836 (4),0.868 (7),0.852 (7),0.885 (6),
308010,Anonymous,0.783 (5),0.773 (5),0.800 (6),0.886 (5),0.888 (4),0.885 (5),
311834,Anonymous,0.776 (6),0.757 (6),0.807 (5),0.898 (3),0.887 (5),0.909 (3),
312765,Anonymous,0.762 (7),0.751 (7),0.780 (7),0.872 (6),0.871 (6),0.873 (7),
312619,Anonymous,0.712 (8),0.720 (8),0.710 (11),0.844 (8),0.849 (8),0.839 (10),
312004,Anonymous,0.711 (9),0.695 (10),0.740 (8),0.818 (12),0.812 (11),0.824 (11),
312719,Anonymous,0.700 (10),0.696 (9),0.711 (10),0.824 (11),0.835 (9),0.814 (13),
311657,Anonymous,0.671 (11),0.642 (11),0.715 (9),0.830 (10),0.811 (12),0.849 (8),
311089,Anonymous,0.649 (12),0.634 (12),0.702 (12),0.831 (9),0.815 (10),0.848 (9),
305405,Anonymous,0.642 (13),0.624 (13),0.676 (13),0.808 (13),0.800 (13),0.818 (12),
312172,Anonymous,0.581 (14),0.569 (15),0.612 (14),0.740 (15),0.731 (15),0.751 (15),
303943,Anonymous,0.555 (15),0.540 (17),0.604 (15),0.732 (16),0.728 (16),0.738 (16),
306274,Anonymous,0.551 (16),0.545 (16),0.575 (17),0.716 (17),0.712 (17),0.720 (18),
309532,Anonymous,0.540 (17),0.571 (14),0.529 (18),0.753 (14),0.780 (14),0.729 (17),
311347,Anonymous,0.466 (18),0.413 (18),0.578 (16),0.649 (18),0.577 (18),0.756 (14),
310704,Anonymous,0.145 (19),0.221 (19),0.127 (19),0.211 (20),0.322 (20),0.174 (19),
312163,Anonymous,0.110 (20),0.121 (20),0.113 (20),0.222 (19),0.391 (19),0.167 (20),
