submission_pk,User,b'score',b'Computation time'
215632,richard_wth,53.45 (1),3102.94 (8),
477695,an39,44.41 (2),3319.74 (9),
472098,Chan_Sin,40.92 (3),2369.10 (7),
268060,rhapsody,37.08 (4),1776.38 (6),
382534,BenZhao,22.09 (5),11.67 (5),
204292,huangzhuolin,22.09 (5),10.89 (4),
474134,pavao,0.00 (6),1.43 (3),
456689,alirajaei95,0.00 (6),1.23 (2),
453819,striver,0.00 (6),0.22 (1),
451837,GeertJanM,-130.00 (7),99999.00 (10),
448801,alirajaei06,-130.00 (7),99999.00 (10),
378768,a21200,-130.00 (7),99999.00 (10),
