submission_pk,User,b'ME_score'
467273,ytyeh,0.15676 (1),
467416,YellowJason,0.17459 (2),
467357,frank84818,0.17639 (3),
467241,r11522820,0.17779 (4),
466654,TsaiiasT,0.17997 (5),
467332,YuanDean_Liou,0.18080 (6),
467469,Ray_Hsu,0.19428 (7),
467394,magicbye,0.20170 (8),
464402,hungrybean,0.20335 (9),
467308,r11k41017,0.27221 (10),
466997,CV_platter,0.39871 (11),
467466,LC_3,0.41374 (12),
467225,enjhihlo,0.41685 (13),
467446,ChengLin,0.41725 (14),
467328,Chen_Tao_Lee,0.44080 (15),
467470,tylee,0.54736 (16),
467132,Ataraxia,0.63486 (17),
466939,M11107512,74.49943 (18),
