submission_pk,User,b'mAP'
95897,alfaholic,100.00 (1),
95876,lzpalex,100.00 (1),
86788,sinmitom,100.00 (1),
84128,tanghulu,100.00 (1),
82867,haoxl,99.98 (2),
89200,longpham3105,99.94 (3),
59924,JohnWickzz,99.61 (4),
68414,zyh,99.25 (5),
54494,lingyun,99.08 (6),
69816,sl,98.43 (7),
94995,baiqi,97.93 (8),
82731,asdfghjkl,95.98 (9),
95396,icecreamztq,95.78 (10),
57533,thlbsj,94.99 (11),
96003,yongganxiaomeiqiu,94.97 (12),
82334,tangweiyi,94.82 (13),
68034,Feiyu_Yao,94.75 (14),
95643,linkaihao,94.58 (15),
95365,www,94.45 (16),
95826,lucky_dia,94.32 (17),
69434,Frank_Yao,93.60 (18),
95846,hzyan,92.95 (19),
54402,da2986,92.94 (20),
96060,a2i2_submission,92.39 (21),
49836,willer,92.35 (22),
95852,determined_dhaze,92.23 (23),
77587,cydiachen,92.19 (24),
93534,Minh,91.68 (25),
92919,koukou,91.68 (25),
96064,pangzihei,90.94 (26),
95185,PZH,90.09 (27),
95017,Di,89.92 (28),
95308,xiaoFan,89.92 (29),
95387,IPIU-XDU,89.87 (30),
66390,tangzixia,86.23 (31),
89768,HanZhou,85.25 (32),
58904,JokerWine,85.12 (33),
95821,lyx,84.67 (34),
86448,ZhaonanLi,84.04 (35),
70107,ShawnLiu,83.24 (36),
70104,sl2,83.24 (36),
68185,lzn,83.05 (37),
94888,sunraku,82.87 (38),
82877,limeixuan,82.21 (39),
92959,LXOAH,81.34 (40),
94877,Switterland,81.22 (41),
95628,chm,81.03 (42),
85264,ngungu46,79.80 (43),
88277,hrishikeshps94,79.51 (44),
93217,by2289,79.14 (45),
95514,BestLyy,75.27 (46),
69149,jasonyux,74.26 (47),
91640,USTC-IAT-United,71.99 (48),
69960,xl2592_wh2500,71.87 (49),
89711,mjg2276,71.09 (50),
69958,wc2751_kl3352,70.96 (51),
69949,jjlad,70.96 (51),
69867,jlw2247_xy2437,70.64 (52),
68902,gabriele_tombesi,70.61 (53),
69890,coco2,69.76 (54),
69840,rika_0148,68.56 (55),
69862,coco1,68.39 (56),
69719,lc3533,68.33 (57),
68850,WeishengChen,68.04 (58),
69689,charles3533,67.89 (59),
89676,ea2985_atr2122,64.17 (60),
95266,ying,63.69 (61),
68856,jw4158,60.05 (62),
66806,tianlei189,59.69 (63),
93565,minhx,57.64 (64),
69201,BochaoXin,52.77 (65),
56657,p_yushh,51.06 (66),
54128,shallowlearner,48.66 (67),
69888,jiayuezhang,44.32 (68),
88706,JoeyDuodu5,36.01 (69),
70071,wyc2112_sl4265,34.72 (70),
66684,cdu890,34.22 (71),
66640,nc2893,31.65 (72),
68187,rs4126_dp3081,18.79 (73),
67715,ingridweiyu,18.21 (74),
69989,zach,17.24 (75),
69827,yc3855_jh4339,16.55 (76),
68412,sankalp.apharande,14.96 (77),
53309,derekmpham,14.59 (78),
52168,jameswang1279,14.59 (78),
50743,JJColumbiaU,14.59 (78),
54015,rs4126,14.56 (79),
52605,vn2302,14.56 (79),
52617,liu.xingyi,14.56 (80),
