submission_pk,User,b'MAP',b'MRR'
279681,Anastasiia.Batsheva,0.91 (1),0.93 (1),
22710,NadezhdaAlsahanova,0.48 (2),0.52 (2),
279710,luckyman28,0.48 (3),0.52 (3),
278948,alexsend57,0.48 (4),0.52 (4),
279581,bbogdanovaalina,0.46 (5),0.50 (5),
21511,FALCON25000,0.44 (6),0.48 (6),
279566,kirakuznetsova,0.43 (7),0.47 (8),
278859,Vir_Ven,0.43 (7),0.47 (8),
22586,olya-const,0.43 (7),0.47 (8),
11515,lilaspourpre,0.43 (7),0.47 (8),
22361,Andrei.Erofeev,0.43 (8),0.47 (9),
21410,AlexeyOlkhovikov_,0.43 (9),0.47 (7),
22192,albertSayapin,0.23 (10),0.25 (10),
22727,prosvirinKir,0.12 (11),0.13 (11),
22731,SergeyPetrakov,0.00 (12),0.00 (12),
280003,azelentsov,0.00 (13),0.00 (13),
22423,NikitaBaramiia,0.00 (13),0.00 (13),
