submission_pk,User,b'rouge1_f',b'rouge1_r',b'rouge2_f',b'rouge2_r',b'rougeL_f',b'rougeL_r',b'Avg. ROUGE F scores'
209293,guneetAI,41.36 (1),43.58 (2),13.76 (1),14.53 (1),25.74 (1),27.19 (1),26.95 (1),
162914,guir,41.36 (1),43.29 (3),12.52 (2),13.20 (3),24.83 (3),26.21 (3),26.24 (2),
156403,armanc,40.80 (2),44.20 (1),12.33 (4),13.50 (2),24.48 (4),26.81 (2),25.87 (4),
156067,ashokurlana,40.68 (3),40.13 (6),12.47 (3),12.33 (5),24.99 (2),24.74 (5),26.04 (3),
158482,sandeep.kumar82945,40.37 (4),42.02 (5),11.98 (5),12.53 (4),24.26 (5),25.38 (4),25.54 (5),
162448,mfonseca,39.34 (5),42.35 (4),11.06 (7),11.94 (6),21.64 (8),23.43 (7),24.01 (7),
151335,prachuryanath,38.74 (6),35.83 (9),11.73 (6),10.88 (7),24.21 (6),22.43 (8),24.89 (6),
161180,ronaldahmed,37.36 (7),38.55 (7),10.22 (8),10.53 (8),23.33 (7),24.24 (6),23.64 (8),
155525,akkasi,33.69 (8),37.93 (8),7.38 (9),8.34 (9),17.73 (9),20.14 (9),19.60 (9),
