submission_pk,User,b'Mean',b'Vehicle',b'Pedestrian',b'Cyclist'
191157,galvatron,85.13 (1),88.38 (6),84.48 (6),82.52 (6),
191551,SHULab,79.70 (2),86.64 (5),74.71 (4),77.75 (5),
190557,lovesnowbest,78.32 (3),80.92 (4),76.41 (5),77.64 (4),
178333,Novauto-Yolen,66.85 (4),75.73 (2),54.65 (3),70.17 (3),
341060,declk,63.80 (5),77.18 (3),44.41 (2),69.82 (2),
469488,carrollmiao,59.85 (6),73.37 (1),38.77 (1),67.41 (1),
