submission_pk,User,b'Average IoU',b'Columns IoU',b'Doors IoU',b'Walls IoU',b'5cm Average F1',b'10cm Average F1',b'20cm Average F1',b'10cm Columns F1',b'10cm Doors F1',b'10cm Walls F1'
139476,alvin98,0.309 (1),0.470 (1),0.260 (1),0.266 (1),0.417 (1),0.515 (1),0.577 (2),0.618 (2),0.494 (1),0.477 (1),
139471,yijiewu0710,0.231 (2),0.372 (3),0.230 (2),0.152 (2),0.316 (2),0.454 (2),0.584 (1),0.608 (3),0.367 (2),0.452 (2),
139474,ManMax,0.170 (3),0.396 (2),0.061 (3),0.150 (3),0.276 (3),0.366 (3),0.448 (3),0.633 (1),0.165 (3),0.415 (3),
139469,Matthew,0.024 (4),0.038 (4),0.006 (4),0.033 (4),0.109 (4),0.171 (4),0.258 (4),0.167 (4),0.144 (4),0.197 (4),
