submission_pk,User,b'Combined (\xe2\x86\x93)',b'T/F (\xe2\x86\x93)',b'MCQ (\xe2\x86\x93)',b'Numerical (\xe2\x86\x93)'
399649,ene,59.5 (1),33.3 (73),6.0 (1),20.1 (2),
399791,Towen,64.1 (2),25.0 (66),39.1 (20),0.0 (1),
399348,npapoylias,83.6 (3),22.7 (1),38.9 (6),22.0 (5),
399434,fapaccio,84.1 (4),23.5 (3),39.1 (63),21.4 (4),
400094,ImTheBest,84.6 (5),24.9 (10),36.4 (2),23.3 (16),
399931,matravox,84.8 (6),23.2 (2),39.1 (59),22.5 (8),
400095,ty2806,85.4 (7),24.7 (8),37.4 (3),23.3 (16),
272408,Surabhi,85.4 (8),25.2 (72),37.8 (4),22.4 (7),
400105,hazelk,85.5 (9),25.0 (40),39.1 (44),21.4 (3),
248164,pjmathematician,86.1 (10),23.6 (4),39.1 (46),23.3 (16),
399530,abhi668912,86.1 (11),24.7 (7),39.1 (11),22.4 (6),
400108,Licorice,86.3 (12),24.6 (6),39.0 (8),22.7 (14),
400136,Mabritc,86.3 (13),24.6 (6),39.0 (8),22.7 (15),
381217,majia,86.5 (14),24.8 (9),39.1 (9),22.7 (14),
367641,codalab,86.6 (15),24.3 (5),38.9 (5),23.4 (17),
382865,praneshj,86.7 (16),25.0 (39),39.1 (10),22.6 (9),
379931,Specter43,86.7 (17),25.0 (62),39.1 (13),22.6 (11),
380646,Dolores,86.7 (18),25.0 (69),39.1 (14),22.6 (9),
400097,smritis,86.8 (19),25.0 (11),39.1 (21),22.6 (9),
376792,akrvin,86.8 (20),25.0 (12),39.1 (18),22.6 (9),
359692,test-submission,86.8 (20),25.0 (12),39.1 (18),22.6 (9),
359601,lolol,86.8 (21),25.0 (65),39.1 (19),22.6 (9),
359557,asid,86.8 (22),25.0 (14),39.1 (104),22.6 (9),
359771,arjas,86.8 (23),25.0 (68),39.1 (103),22.6 (9),
396686,YuCheng12,86.8 (24),25.0 (40),39.1 (25),22.6 (10),
359540,akarv,86.8 (25),25.0 (15),39.1 (17),22.6 (12),
375659,misakiiiio,86.8 (26),25.0 (41),39.1 (64),22.6 (13),
381209,ricardo0816,86.8 (27),25.0 (67),39.1 (15),22.7 (14),
382942,rmzhang,86.8 (28),25.0 (45),39.1 (16),22.7 (14),
382973,revathivch,86.8 (29),25.0 (48),39.1 (32),22.7 (14),
400127,ZZZYyyy,86.8 (30),25.1 (71),39.1 (12),22.7 (14),
271118,aditiprerna,87.4 (31),25.1 (70),39.0 (7),23.3 (16),
359460,anarghs,87.5 (32),25.0 (13),39.1 (53),23.3 (16),
320225,SeanHuang,87.5 (33),25.0 (16),39.1 (50),23.3 (16),
344962,eamon,87.5 (34),25.0 (18),39.1 (56),23.3 (16),
363125,ramiakl_yundali,87.5 (35),25.0 (17),39.1 (67),23.3 (16),
361215,yundali,87.5 (35),25.0 (17),39.1 (67),23.3 (16),
364557,yuheb,87.5 (36),25.0 (21),39.1 (28),23.3 (16),
319586,sheikheddy,87.5 (37),25.0 (26),39.1 (24),23.3 (16),
338868,jazz,87.5 (38),25.0 (19),39.1 (47),23.3 (16),
336590,Rozmoney,87.5 (39),25.0 (24),39.1 (35),23.3 (16),
181757,calibrated_random_baseline,87.5 (40),25.0 (27),39.1 (30),23.3 (16),
319969,jenajj,87.5 (41),25.0 (47),39.1 (22),23.3 (16),
400052,ArkashJ,87.5 (42),25.0 (33),39.1 (27),23.3 (16),
320158,yxy007,87.5 (43),25.0 (23),39.1 (60),23.3 (16),
320193,lling,87.5 (44),25.0 (29),39.1 (39),23.3 (16),
280693,niksss,87.5 (45),25.0 (29),39.1 (43),23.3 (16),
317643,akshayabali,87.5 (46),25.0 (22),39.1 (72),23.3 (16),
320160,HalimPolat,87.5 (47),25.0 (31),39.1 (36),23.3 (16),
363128,tchung,87.5 (48),25.0 (28),39.1 (52),23.3 (16),
328088,gia.zheng,87.5 (49),25.0 (53),39.1 (23),23.3 (16),
320236,Xudong_Han,87.5 (50),25.0 (23),39.1 (79),23.3 (16),
322974,bami,87.5 (51),25.0 (33),39.1 (40),23.3 (16),
327840,samwu,87.5 (52),25.0 (24),39.1 (74),23.3 (16),
303763,haoy,87.5 (53),25.0 (23),39.1 (81),23.3 (16),
320928,yiz370,87.5 (54),25.0 (36),39.1 (33),23.3 (16),
338682,DavidM35,87.5 (55),25.0 (23),39.1 (84),23.3 (16),
320067,jhlee,87.5 (56),25.0 (27),39.1 (70),23.3 (16),
333246,Ankur_Ankit,87.5 (57),25.0 (22),39.1 (93),23.3 (16),
359253,Haniel_Jacob,87.5 (58),25.0 (29),39.1 (69),23.3 (16),
340757,angeline_cct,87.5 (59),25.0 (42),39.1 (37),23.3 (16),
344743,hyjhyj11,87.5 (60),25.0 (32),39.1 (57),23.3 (16),
328089,Xiaoyang,87.5 (61),25.0 (19),39.1 (99),23.3 (16),
320131,malakar,87.5 (62),25.0 (25),39.1 (89),23.3 (16),
320044,eawang,87.5 (63),25.0 (38),39.1 (48),23.3 (16),
320157,Owen_Zhu,87.5 (64),25.0 (43),39.1 (42),23.3 (16),
367454,j1unt,87.5 (65),25.0 (46),39.1 (38),23.3 (16),
367219,TianxinZhou,87.5 (66),25.0 (33),39.1 (68),23.3 (16),
320287,NoneSupreme,87.5 (67),25.0 (30),39.1 (80),23.3 (16),
372366,gcgc,87.5 (68),25.0 (42),39.1 (51),23.3 (16),
336654,vanish,87.5 (69),25.0 (44),39.1 (45),23.3 (16),
320148,anishil,87.5 (70),25.0 (20),39.1 (101),23.3 (16),
354987,vishalms,87.5 (71),25.0 (34),39.1 (76),23.3 (16),
337654,shuhei,87.5 (72),25.0 (57),39.1 (26),23.3 (16),
320034,zvivian279,87.5 (73),25.0 (52),39.1 (34),23.3 (16),
329021,tassychen,87.5 (74),25.0 (40),39.1 (65),23.3 (16),
400120,PeiyingYe,87.5 (75),25.0 (50),39.1 (41),23.3 (16),
367157,chenyang0625,87.5 (76),25.0 (44),39.1 (58),23.3 (16),
359351,fredericlemonnier,87.5 (77),25.0 (47),39.1 (55),23.3 (16),
367627,Chengzhuo,87.5 (78),25.0 (37),39.1 (82),23.3 (16),
320190,hjunming,87.5 (79),25.0 (51),39.1 (49),23.3 (16),
354928,atechim,87.5 (80),25.0 (45),39.1 (73),23.3 (16),
365773,AG,87.5 (81),25.0 (60),39.1 (29),23.3 (16),
399011,xcui3,87.5 (82),25.0 (40),39.1 (90),23.3 (16),
399004,flyingfish,87.5 (82),25.0 (40),39.1 (90),23.3 (16),
320141,weiran,87.5 (83),25.0 (43),39.1 (86),23.3 (16),
365905,SrinivasChellaboina,87.5 (84),25.0 (46),39.1 (78),23.3 (16),
336747,nbclark_,87.5 (85),25.0 (44),39.1 (85),23.3 (16),
320032,ryan7530,87.5 (86),25.0 (53),39.1 (62),23.3 (16),
342078,pwang78,87.5 (87),25.0 (36),39.1 (97),23.3 (16),
328893,HaoxuanSun,87.5 (88),25.0 (35),39.1 (98),23.3 (16),
322987,wtzheng,87.5 (89),25.0 (44),39.1 (94),23.3 (16),
363087,jayswaldhun,87.5 (90),25.0 (48),39.1 (87),23.3 (16),
372351,phamquan,87.5 (91),25.0 (55),39.1 (66),23.3 (16),
321584,jchong4,87.5 (92),25.0 (56),39.1 (61),23.3 (16),
350278,fgrennjr,87.5 (93),25.0 (55),39.1 (71),23.3 (16),
320186,sxm2357,87.5 (94),25.0 (49),39.1 (91),23.3 (16),
