submission_pk,User,b'MainScore',b'Pearson',b'Spearman',b'FR [1] / NR [0]',b'CPU [1]/ GPU [0]',b'Extra Data [1] / No Extra Data [0]'
362783,cimice15,0.6030 (46),0.5907 (48),0.6152 (46),- (-),0.00 (2),1.00 (1),
362628,yvonnekao,0.7310 (20),0.7296 (22),0.7323 (18),- (-),0.00 (2),1.00 (1),
362571,hbrachemi,0.7396 (18),0.7264 (24),0.7528 (11),- (-),0.00 (2),1.00 (1),
362518,wenqi.wang,0.7160 (26),0.7251 (25),0.7070 (28),- (-),0.00 (2),1.00 (1),
362488,yiyiyihahaha,0.6899 (34),0.7003 (34),0.6794 (34),- (-),1.00 (1),1.00 (1),
362435,liuan_mumu,0.7414 (17),0.7502 (15),0.7326 (17),- (-),0.00 (2),1.00 (1),
362415,dingdong,0.8196 (1),0.8326 (1),0.8066 (1),- (-),0.00 (2),1.00 (1),
362198,buccellati,0.8171 (2),0.8290 (2),0.8052 (2),- (-),0.00 (2),1.00 (1),
362226,zero288,0.7062 (32),0.7021 (33),0.7103 (27),- (-),1.00 (1),1.00 (1),
362206,EvaLab,0.7847 (5),0.7919 (4),0.7775 (5),- (-),0.00 (2),1.00 (1),
362056,M1r0,0.7098 (29),0.7319 (21),0.6877 (33),- (-),0.00 (2),1.00 (1),
361337,runnningman,0.7918 (3),0.7983 (3),0.7853 (4),- (-),0.00 (2),1.00 (1),
360490,claudiom4sir,0.4544 (55),0.5024 (55),0.4065 (55),- (-),1.00 (1),1.00 (1),
359895,qingshi,0.7616 (11),0.7825 (9),0.7406 (13),- (-),0.00 (2),1.00 (1),
359836,blacksmith_milan,0.7417 (16),0.7477 (16),0.7357 (14),- (-),0.00 (2),1.00 (1),
358846,gyyao,0.1812 (58),0.1944 (57),0.1680 (58),- (-),0.00 (2),1.00 (1),
355816,stenphen09,0.7694 (8),0.7759 (11),0.7630 (7),- (-),0.00 (2),1.00 (1),
353078,caixukun,0.7136 (27),0.7155 (29),0.7118 (25),- (-),0.00 (2),1.00 (1),
352621,DTVQ2,0.7281 (21),0.7323 (19),0.7240 (22),- (-),0.00 (2),1.00 (1),
352530,freestyle0719,0.7787 (6),0.7853 (5),0.7721 (6),- (-),0.00 (2),1.00 (1),
349990,stootaghaj,0.6624 (37),0.6612 (37),0.6636 (36),- (-),0.00 (2),1.00 (1),
347721,HMotamednia,0.6396 (41),0.6479 (40),0.6313 (42),- (-),0.00 (2),1.00 (1),
345118,atelili,0.6702 (36),0.6678 (36),0.6726 (35),- (-),0.00 (2),1.00 (1),
343400,Kingslayer,0.1830 (57),0.1911 (58),0.1749 (57),- (-),0.00 (2),1.00 (1),
343359,hhh123,0.7428 (14),0.7581 (12),0.7275 (20),- (-),1.00 (1),1.00 (1),
339499,lxp0_0,0.6131 (45),0.6071 (46),0.6192 (45),- (-),1.00 (1),1.00 (1),
335195,test001,0.7656 (10),0.7817 (10),0.7495 (12),- (-),0.00 (2),1.00 (1),
335203,HNWu,0.7694 (7),0.7831 (7),0.7558 (9),- (-),0.00 (2),1.00 (1),
324987,GYX,0.5758 (50),0.5743 (50),0.5772 (50),- (-),1.00 (1),1.00 (1),
324037,ahghorbe,0.0496 (60),0.0835 (60),0.0157 (60),- (-),0.00 (2),1.00 (1),
318966,JHC-SJTU,0.5758 (50),0.5743 (50),0.5772 (50),- (-),1.00 (1),1.00 (1),
362674,henrenzhenderen,0.7092 (30),0.7214 (27),0.6971 (32),- (-),0.00 (2),0.00 (2),
362662,xixixixixixixi,0.6290 (42),0.6201 (44),0.6378 (41),- (-),0.00 (2),0.00 (2),
362462,sqiyx,0.7420 (15),0.7521 (14),0.7319 (19),- (-),0.00 (2),0.00 (2),
362369,cmcc,0.7515 (12),0.7420 (17),0.7611 (8),- (-),0.00 (2),0.00 (2),
362351,hongwei03,0.7108 (28),0.7161 (28),0.7055 (30),- (-),0.00 (2),0.00 (2),
362312,Hodor,0.7195 (23),0.7133 (30),0.7256 (21),- (-),0.00 (2),0.00 (2),
362053,psglgdame,0.5630 (51),0.5521 (53),0.5738 (51),- (-),0.00 (2),0.00 (2),
362065,hwscut,0.7678 (9),0.7826 (8),0.7529 (10),- (-),0.00 (2),0.00 (2),
361840,Snow,0.7441 (13),0.7536 (13),0.7347 (15),- (-),0.00 (2),0.00 (2),
361386,sissuire,0.6878 (35),0.7130 (31),0.6625 (37),- (-),0.00 (2),0.00 (2),
361351,Sicks,0.5575 (53),0.5630 (52),0.5520 (53),- (-),0.00 (2),0.00 (2),
360652,hzwzcc,0.6262 (44),0.6252 (43),0.6271 (43),- (-),0.00 (2),0.00 (2),
359960,huangzhiwe,0.4240 (56),0.4429 (56),0.4052 (56),- (-),0.00 (2),0.00 (2),
358681,HNU_LIMMC,0.6437 (40),0.6263 (42),0.6612 (39),- (-),0.00 (2),0.00 (2),
357156,PixelBE,0.6535 (39),0.6605 (38),0.6464 (40),- (-),0.00 (2),0.00 (2),
356150,wuhuqifei,0.5404 (54),0.5344 (54),0.5464 (54),- (-),1.00 (1),0.00 (2),
355458,antshant,0.1085 (59),0.1595 (59),0.0575 (59),- (-),0.00 (2),0.00 (2),
355246,ShilingZhao,0.7251 (22),0.7338 (18),0.7163 (23),- (-),0.00 (2),0.00 (2),
354683,LiuHao,0.6972 (33),0.6918 (35),0.7025 (31),- (-),0.00 (2),0.00 (2),
353933,NewBee,0.7191 (24),0.7268 (23),0.7114 (26),- (-),0.00 (2),0.00 (2),
339591,yjmuew07928,0.6270 (43),0.6287 (41),0.6253 (44),- (-),0.00 (2),0.00 (2),
