submission_pk,User,b'Accuracy'
260491,Foolosopher,0.89 (1),
265908,lysanuik,0.86 (2),
265663,EgorMozharov,0.86 (2),
265033,AlekseevArtem,0.86 (2),
264976,emila,0.86 (2),
263338,slum,0.86 (2),
265769,VeipsFil,0.85 (3),
265578,bavasilev,0.85 (3),
265571,Olenek,0.85 (3),
265449,Eliray,0.85 (3),
263028,chatgpt,0.84 (4),
263153,xjt,0.83 (5),
265794,skyman44,0.82 (6),
265661,tonyglebg,0.82 (6),
265505,troubleshooter,0.82 (6),
265402,AyyJimmeh,0.82 (6),
265370,DanishMadhavan,0.82 (6),
265562,haxexo,0.81 (7),
265524,arted2,0.81 (7),
265475,dai_manki,0.81 (7),
266024,ushakovsa,0.80 (8),
265784,aaruts,0.80 (8),
265474,gigachad,0.80 (8),
265249,Kukarkins,0.80 (8),
263249,gzotov,0.80 (8),
262488,Kobylkin_Kirill,0.80 (8),
265894,elbulm,0.79 (9),
265398,ranga519,0.79 (9),
265710,dabashminova,0.78 (10),
265261,Gursoy_Efe,0.78 (10),
265450,Sharara_Nina,0.77 (11),
265080,Liya,0.76 (12),
262445,marchenko,0.76 (12),
256159,kol-di,0.75 (13),
262970,cf58966,0.69 (14),
265958,Viola,0.67 (15),
