submission_pk,User,b'F-1 sarcastic',b'F-score',b'Precision',b'Recall',b'Accuracy'
39914,stce,0.6052 (1),0.7675 (1),0.7564 (1),0.7804 (3),0.8807 (1),
41701,emma,0.5691 (2),0.7379 (2),0.7111 (2),0.7896 (1),0.8464 (3),
42219,saroyehun,0.5295 (3),0.7061 (3),0.6812 (3),0.7821 (2),0.8121 (6),
42309,ShubhamKumarNigam,0.4769 (4),0.6594 (5),0.6485 (5),0.7646 (4),0.7571 (18),
40864,jthomson,0.4557 (5),0.6724 (4),0.6562 (4),0.7008 (7),0.8157 (5),
41196,lizefeng,0.4515 (6),0.6561 (6),0.6395 (8),0.7204 (5),0.7779 (13),
42162,maryam.najafi,0.4342 (7),0.6386 (9),0.6275 (10),0.7150 (6),0.7543 (19),
41869,abdessamad_benlahbib,0.4291 (8),0.6513 (8),0.6353 (9),0.6896 (8),0.7929 (11),
36451,Olha_Kaminska,0.4242 (9),0.6552 (7),0.6422 (7),0.6767 (11),0.8100 (8),
42404,niksss,0.4016 (10),0.6353 (11),0.6215 (14),0.6683 (12),0.7850 (12),
42263,fdabek,0.4007 (11),0.6248 (13),0.6132 (16),0.6779 (10),0.7586 (17),
41834,leon14138,0.3922 (12),0.6365 (10),0.6255 (12),0.6546 (14),0.8007 (10),
41469,dartmouth,0.3857 (13),0.6346 (12),0.6254 (13),0.6483 (16),0.8043 (9),
42447,hudou,0.3827 (14),0.5895 (18),0.5973 (18),0.6817 (9),0.6936 (25),
40705,Abdelkader,0.3713 (15),0.6171 (16),0.6058 (17),0.6458 (17),0.7750 (14),
42113,UTNLP,0.3685 (16),0.5843 (19),0.5901 (19),0.6646 (13),0.6964 (24),
42177,JumanaKhrais,0.3561 (17),0.6228 (15),0.6204 (15),0.6254 (19),0.8114 (7),
42142,cnxupupup,0.3514 (18),0.6237 (14),0.6274 (11),0.6204 (21),0.8207 (4),
40886,tanuj22,0.3453 (19),0.5406 (24),0.5765 (21),0.6533 (15),0.6236 (27),
41329,rematchka,0.3405 (20),0.5966 (17),0.5880 (20),0.6242 (20),0.7593 (16),
42187,mayukh,0.3276 (21),0.5265 (26),0.5661 (23),0.6329 (18),0.6100 (30),
37770,bilalghanem,0.3119 (22),0.4428 (33),0.5647 (24),0.6242 (20),0.4736 (36),
41016,premjithb,0.3082 (23),0.4966 (30),0.5550 (27),0.6121 (22),0.5671 (31),
